	mean.x	mean.y	mean.diff	pvalue	logFC
MAR00248	1.32959225	1.35241444	-0.02282219	0.02992153	-0.0245534473845601
MAR00249	0.43287254	0.45420366	-0.02133112	0.04688193	-0.0693970477550551
MAR00250	0.66991172	0.69120544	-0.02129371	0.03636135	-0.0451435801762244
MAR00251	4.077749	4.09291568	-0.01516668	0.05921154	-0.00535597041630639
MAR00252	3.82320923	3.83382043	-0.01061119	0.8647353	-0.0039986094079968
MAR00253	1.33001496	1.35285466	-0.02283969	0.02983386	-0.0245643826571723
MAR00254	1.3292192	1.35204657	-0.02282737	0.0299477	-0.0245658073762527
MAR00255	0.79478374	0.81615357	-0.02136983	0.04671544	-0.0382782820719525
MAR00256	0.66992897	0.69123724	-0.02130827	0.03629249	-0.0451728036870566
MAR00257	1.33253633	1.35537819	-0.02284185	0.02926088	-0.0245205948314742
MAR00258	1.32891467	1.3517392	-0.02282453	0.03006118	-0.0245683580383263
MAR00259	0.65272659	0.67385536	-0.02112877	0.04229351	-0.0459601453878046
MAR00260	0.66827159	0.68959947	-0.02132788	0.03592324	-0.0453241229335055
MAR00261	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00262	1.33759808	1.36072375	-0.02312566	0.02623813	-0.024729523330704
MAR00263	0.67285197	0.69407349	-0.02122151	0.046034	-0.0447992852249086
MAR00264	0.92422866	0.94621577	-0.02198711	0.01173918	-0.0339193779115157
MAR00265	1.32862966	1.35144879	-0.02281913	0.03012892	-0.0245678190883508
MAR00266	1.32984446	1.35267516	-0.02283069	0.03040656	-0.0245579064908486
MAR00267	4.21607608	4.25567108	-0.03959499	0.1501939	-0.0134857485730762
MAR00268	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00269	1.32927995	1.35209666	-0.02281672	0.02958542	-0.0245533199501387
MAR00270	1.3292192	1.35204657	-0.02282737	0.0299477	-0.0245658073762527
MAR00271	4.21645983	4.23437719	-0.01791736	0.03532218	-0.00611757748712545
MAR00272	4.21504231	4.23287374	-0.01783142	0.03604669	-0.0060903431533019
MAR00273	1.33253633	1.35537819	-0.02284185	0.02926088	-0.0245205948314742
MAR00274	1.32922057	1.35204805	-0.02282747	0.02994654	-0.0245658996460015
MAR00275	4.49433091	4.51626186	-0.02193095	0.01123446	-0.00702278664492842
MAR00276	0.66796854	0.68929525	-0.02132672	0.03591152	-0.0453419173895556
MAR00277	1.32950917	1.35233298	-0.02282381	0.02997469	-0.0245566969754334
MAR00278	1.32863991	1.35145985	-0.02281995	0.03012044	-0.0245684958429668
MAR00279	0.66733297	0.68866667	-0.0213337	0.03586571	-0.0453990724956289
MAR00280	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00281	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00282	1.32863943	1.35145937	-0.02281995	0.03012017	-0.0245685046437231
MAR00283	0.66733145	0.68866515	-0.0213337	0.03586473	-0.0453991742923142
MAR00284	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00285	0.51455764	0.53014845	-0.01559082	0.02367076	-0.0430636990333531
MAR00286	2.63336803	2.63674588	-0.003377852	0.6726113	-0.00184937486908583
MAR00287	1.32891688	1.35170615	-0.02278926	0.0302587	-0.0245306845223264
MAR00288	1.32864846	1.35146816	-0.0228197	0.03013942	-0.0245680828800834
MAR00289	0.7468216	0.76443238	-0.01761078	0.05458406	-0.033625234997324
MAR00290	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00291	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00292	1.32863726	1.35145723	-0.02281997	0.03011979	-0.0245685764558747
MAR00293	0.66732955	0.68866325	-0.02133371	0.03586568	-0.0453993015388131
MAR00294	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00295	1.32938705	1.35218647	-0.02279942	0.030218	-0.0245329113985705
MAR00296	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00297	4.03470558	4.05204786	-0.01734229	0.06175976	-0.00618781316744201
MAR00298	0.66796345	0.68929462	-0.02133117	0.0358648	-0.0453515923491676
MAR00299	1.32863563	1.35145484	-0.02281921	0.03013001	-0.0245677950326268
MAR00300	1.32863217	1.35145194	-0.02281977	0.030123	-0.0245684562784127
MAR00301	0.66732258	0.68865661	-0.02133403	0.03586429	-0.0454004596693886
MAR00302	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00303	1.32904922	1.35185667	-0.02280745	0.03013037	-0.0245476642685858
MAR00304	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00305	0.66732453	0.68865852	-0.02133399	0.03586443	-0.0454002452722543
MAR00306	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00307	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00308	1.3286373	1.35145723	-0.02281993	0.03012088	-0.0245685330220477
MAR00309	0.66733099	0.6886647	-0.02133371	0.03586583	-0.0453992260484613
MAR00310	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00311	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00312	1.32863915	1.35145913	-0.02281999	0.03011989	-0.0245685524778686
MAR00313	2.20692686	2.23446161	-0.02753475	0.0547833	-0.0178884402877603
MAR00314	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00315	2.63336803	2.63674588	-0.003377852	0.6726113	-0.00184937486908583
MAR00316	0.36044894	0.38124946	-0.02080052	0.01707534	-0.0809403875870543
MAR00317	1.32863198	1.35144879	-0.0228168	0.03013677	-0.0245652999141421
MAR00318	1.32863785	1.35145789	-0.02282003	0.0301194	-0.0245686403639443
MAR00319	0.66733086	0.68866457	-0.02133371	0.03586557	-0.0453992347547938
MAR00320	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00321	1.32879436	1.35159874	-0.02280437	0.03023943	-0.0245490557120529
MAR00322	1.32862963	1.35144922	-0.02281958	0.03012525	-0.0245683106962987
MAR00323	0.66732257	0.68865658	-0.02133401	0.03586449	-0.0454004184403093
MAR00324	0.66795844	0.68928966	-0.02133122	0.03586385	-0.0453520318671876
MAR00325	1.32863393	1.35145321	-0.02281928	0.03012931	-0.0245679009271914
MAR00326	1.32863352	1.35145335	-0.02281982	0.03012216	-0.0245684955770421
MAR00327	0.66732453	0.68865852	-0.02133399	0.03586443	-0.0454002452722543
MAR00328	0.6679584	0.68928962	-0.02133122	0.03586384	-0.0453520345408038
MAR00329	1.32862924	1.35144879	-0.02281954	0.03012588	-0.024568275146221
MAR00330	1.32863701	1.35145694	-0.02281993	0.03012059	-0.024568538339189
MAR00331	0.66732963	0.68866333	-0.0213337	0.03586566	-0.0453992961810517
