"name"	"mIDH2"	"Cluster_NR"	"distance"
"120"	"ABT1"	0.496320103136872	0.573681093617252	0.0612
"121"	"ABTB1"	0.452280417516492	0.470575518388574	0.0219
"122"	"ABTB2"	0.615484014085332	0.622503101449881	0.0085
"123"	"AC000003.1"	0.228001204969827	0.238319569870572	0.0241
"124"	"AC000111.3"	0.239172591480607	0.256213758393933	0.0284
"125"	"AC000123.4"	0.240294152974434	0.259311707551801	0.0297
"126"	"AC002064.4"	0.263818608586535	0.275339942531323	0.0237
"127"	"AC002066.2"	0.226551222793998	0.24474298679512	0.0296
"128"	"AC002368.4"	0.363178211856279	0.373262888227364	0.0193
"129"	"AC002429.5"	0.229173371627536	0.245540109632358	0.0283
"130"	"AC002477.1"	0.267891580794712	0.280890651896898	0.0246
"131"	"AC002511.1"	0.251075360180419	0.265578483012606	0.0262
"132"	"AC002511.2"	0.239374522435769	0.255878761309382	0.028
"133"	"AC002539.1"	0.341301741490539	0.358869718137833	0.0252
"134"	"AC002553.1"	0.227771077003423	0.242672385395714	0.0273
"135"	"AC002558.1"	0.259898523582434	0.269731203986543	0.0227
"136"	"AC002978.1"	0.231700038132707	0.250036671090957	0.0295
"137"	"AC002979.1"	0.22794158913403	0.24476479741956	0.0286
"138"	"AC002994.1"	0.32458499038392	0.330883378919065	0.018
"139"	"AC003102.1"	0.353795663071409	0.349178666323027	0.0095
"140"	"AC003104.1"	0.231323440849227	0.249234340961147	0.0293
"141"	"AC003666.1"	0.246639660761527	0.264186618371482	0.0285
"142"	"AC003681.1"	0.243978193308403	0.266865704505914	0.0323
"143"	"AC003682.16"	0.253902955377349	0.273632526433749	0.0297
"144"	"AC003958.2"	0.24417572968231	0.257156449757025	0.0254
"145"	"AC004000.1"	0.285696048640824	0.299339016619938	0.0244
"146"	"AC004016.1"	0.229903121077787	0.245622975913314	0.0278
"147"	"AC004017.1"	0.257412913066789	0.273337185187558	0.027
"148"	"AC004041.2"	0.24619030699597	0.353075592154344	0.0901
"149"	"AC004066.3"	0.228719690377245	0.240468705005884	0.0251
"150"	"AC004069.1"	0.225520397533439	0.241330520279	0.028
"151"	"AC004076.9"	0.243068576457406	0.260811958291548	0.0287
"152"	"AC004160.4"	0.22494324970225	0.24075994565421	0.028
"153"	"AC004231.2"	0.242901591291785	0.256133186680803	0.0256
