"name"	"mIDH2"	"mIDH1"	"distance"
"180"	"3,7,10,13-Hexadecatetraenoyl"	0	0	0.0063
"181"	"3,7,10-Hexadecatrienoyl"	0	0	0.0063
"182"	"3,7-Decadienoyl"	0	0	0.0063
"183"	"3-(3-Hydroxy-Phenyl)Propionate"	0.35021408448453	0.349312260548206	0.0012
"184"	"3-(acyloxy)acyl"	0	0	0.0063
"185"	"3-Adenosine"	0	0	0.0063
"186"	"3-Dehydrochenodeoxychollyc"	0.254725343867665	0.259981349217841	0.0067
"187"	"3-Dehydrocholic"	0.254685594533058	0.259981349217841	0.0068
"188"	"3-Hexenoyl"	0	0	0.0063
"189"	"3-Hydoxy-Suberic"	0.278873240974638	0.278530639657308	0.0025
"190"	"3-Hydoxy-Suberyl"	0	0	0.0063
"191"	"3-Hydroxy"	0.327531683453742	0.328609756126153	0.0029
"192"	"3-Hydroxy-Adipoyl"	0	0	0.0063
"193"	"3-Hydroxy-Glutaryl"	0	0	0.0063
"194"	"3-Hydroxy-Isovaleryl"	0.328028898920813	0.328953818617617	0.0028
"195"	"3-Hydroxy-Octadecenoyl"	0.238881178280616	0.237072728957725	0.002
"196"	"3-Hydroxy-Sebacic"	0.276790256667783	0.278530639657308	0.004
"197"	"3-Hydroxy-Sebacoyl"	0	0	0.0063
"198"	"3-Hydroxy-Tetradecanoyl"	0.328424439654824	0.329858540259465	0.0031
"199"	"3-Hydroxycinnamic"	0.109451667608859	0.108592625492136	0.0043
"200"	"3-Hydroxyhexadecanoyl"	0.204841280889438	0.208882948991332	0.0065
"201"	"3-Hydroxyhexadecenoyl"	0.203953025198103	0.207736631262224	0.0063
"202"	"3-Hydroxyisovaleric"	0.250881603697947	0.260582981772333	0.0099
"203"	"3-Hydroxyisovaleryl"	0.271325693197313	0.275096218640819	0.0055
"204"	"3-Hydroxyoctadecadienoyl"	0.204118273945298	0.20752761628845	0.0061
"205"	"3-Hydroxyoctadecanoyl"	0.25780156266304	0.258608171345311	0.0036
"206"	"3-Hydroxyoctadecenoyl"	0.191227454409338	0.193440456485117	0.0054
"207"	"3-Hydroxyphenylpropionic"	0.109451667608859	0.108592625492136	0.0043
"208"	"3-Oxo-Cis-8-Tetradecenoyl"	0.257322416456777	0.257545677418081	0.0032
"209"	"3-Oxo-Cis-9-Octadecenoyl"	0	0	0.0063
"210"	"3-Oxolaur-Cis-5-Enoyl"	0.259913813417229	0.259679507556059	0.0028
"211"	"3-deoxy-D-glycero-D-galacto-2-nonulosonic"	0.334465274989485	0.341368390145388	0.0069
"212"	"3-hydroxy"	0.419117082699518	0.416015606665372	-0.0012
"213"	"3-sulfinylpyruvic"	0	0	0.0063
"214"	"31-O-Desmethyl,19-Hydroxy,37,"	0.278873240974638	0.278530639657308	0.0025
"215"	"3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl"	0	0	0.0063
"216"	"4,7,10,13-Hexadecatetraenoyl"	0	0	0.0063
