A	B	scaled_weight
cholesterol-ester-4,7,10,13,16-docosa[l]	MAR03593	0.705546797061276
H2O[l]	MAR03593	0.705546797061276
cholesterol-ester-11,14-eicosa[l]	MAR03594	0.705546797061281
H2O[l]	MAR03594	0.705546797061281
cholesterol-ester-13,16-docosa[l]	MAR03595	0.705546797061277
H2O[l]	MAR03595	0.705546797061277
cholesterol-ester-10,13,16-docosa[l]	MAR03596	0.705546797061092
H2O[l]	MAR03596	0.705546797061092
cholesterol-ester plasma pool[r]	MAR03622	0.263377381869988
MAR03622	cholesterol-ester-10,13,16,19-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-10,13,16-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-10-hepta[r]	0.263377381869988
MAR03622	cholesterol-ester-11,14,17-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-11,14-eicosa[r]	0.263377381869988
MAR03622	cholesterol-ester-11-docose[r]	0.263377381869988
MAR03622	cholesterol-ester-11-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-12,15,18,21-tetracosa[r]	0.263377381869988
MAR03622	cholesterol-ester-13,16,19-doco[r]	0.263377381869988
MAR03622	cholesterol-ester-13,16-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-13-docose[r]	0.263377381869988
MAR03622	cholesterol-ester-13-eicose[r]	0.263377381869988
MAR03622	cholesterol-ester-13-octade[r]	0.263377381869988
MAR03622	cholesterol-ester-15-tetra[r]	0.263377381869988
MAR03622	cholesterol-ester-4,7,10,13,16,19-doco[r]	0.263377381869988
MAR03622	cholesterol-ester-4,7,10,13,16-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-5,8,11,14,17-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-5,8,11-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-5-tetra[r]	0.263377381869988
MAR03622	cholesterol-ester-6,9,12,15,18,21-tetra[r]	0.263377381869988
MAR03622	cholesterol-ester-6,9,12,15,18-tetraco[r]	0.263377381869988
MAR03622	cholesterol-ester-6,9,12,15-octa[r]	0.263377381869988
MAR03622	cholesterol-ester-6,9-octa[r]	0.263377381869988
MAR03622	cholesterol-ester-7,10,13,16,19-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-7,10,13,16-docosa[r]	0.263377381869988
MAR03622	cholesterol-ester-7-hexa[r]	0.263377381869988
MAR03622	cholesterol-ester-7-octade[r]	0.263377381869988
MAR03622	cholesterol-ester-7-tetrade[r]	0.263377381869988
MAR03622	cholesterol-ester-8,11,14,17-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-8,11-eico[r]	0.263377381869988
MAR03622	cholesterol-ester-9,12,15,18,21-tetra[r]	0.263377381869988
