node	mux	agg	layer1	layer2	layer3	layer4
546	2.9	11.6	5.8	0	0	0
547	9.6	38.4	19.2	0	0	0
548	3.9	15.6	7.8	0	0	0
549	2.7	10.8	5.4	0	0	0
550	11.4	45.6	22.8	0	0	0
551	1	4	2	0	0	0
552	3.4	13.6	6.8	0	0	0
553	12.9	51.6	25.8	0	0	0
554	2.1	8.4	4.2	0	0	0
555	0.6	2.4	1.2	0	0	0
556	11.7	46.8	23.4	0	0	0
557	3	12	6	0	0	0
558	5.8	23.2	11.6	0	0	0
559	0.5	2	1	0	0	0
560	5.2	20.8	10.4	0	0	0
561	5.3	21.2	10.6	0	0	0
562	3.6	14.4	7.2	0	0	0
563	6.1	24.4	12.2	0	0	0
564	0.5	2	1	0	0	0
565	0.2	0.8	0.4	0	0	0
566	9.7	38.8	19.4	0	0	0
567	0.2	0.8	0.4	0	0	0
568	6.7	26.8	13.4	0	0	0
569	1.4	5.6	2.8	0	0	0
570	1.8	7.2	3.6	0	0	0
571	2	8	4	0	0	0
572	9.5	38	19	0	0	0
573	12.4	49.6	24.8	0	0	0
574	0.2	0.8	0.4	0	0	0
575	0.4	1.6	0.8	0	0	0
576	2.6	10.4	5.2	0	0	0
577	5.6	22.4	11.2	0	0	0
578	1.5	6	3	0	0	0
579	25.6	102.4	51.2	0	0	0
580	9.2	36.8	18.4	0	0	0
581	2.9	11.6	5.8	0	0	0
582	9.1	36.4	18.2	0	0	0
583	13.2	52.8	26.4	0	0	0
584	3.2	12.8	6.4	0	0	0
585	5.4	21.6	10.8	0	0	0
586	18.9	75.5999999999999	37.8	0	0	0
587	2.2	8.8	4.4	0	0	0
588	0.5	2	1	0	0	0
589	14.9	59.6	29.8	0	0	0
590	12.1	48.4	24.2	0	0	0
591	1.8	7.2	3.6	0	0	0
592	3.3	13.2	6.6	0	0	0
593	0.2	0.8	0.4	0	0	0
594	3.8	15.2	7.6	0	0	0
595	1.5	6	3	0	0	0
596	1	4	2	0	0	0
597	1.3	5.2	2.6	0	0	0
598	4.4	17.6	8.8	0	0	0
599	4.8	19.2	9.6	0	0	0
600	8.1	32.4	16.2	0	0	0
601	4.3	17.2	8.6	0	0	0
602	6.6	26.4	13.2	0	0	0
603	0.5	2	1	0	0	0
604	2.5	10	5	0	0	0
605	4.4	17.6	8.8	0	0	0
606	12	48	24	0	0	0
607	5.4	21.6	10.8	0	0	0
608	2	8	4	0	0	0
609	6.6	26.4	13.2	0	0	0
610	3.4	13.6	6.8	0	0	0
611	7.4	29.6	14.8	0	0	0
612	4.4	17.6	8.8	0	0	0
613	15.1	60.4	30.2	0	0	0
614	16.1	64.4	32.2	0	0	0
615	16.9	67.6	33.8	0	0	0
616	4.4	17.6	8.8	0	0	0
617	4.7	18.8	9.4	0	0	0
618	9.6	38.4	19.2	0	0	0
619	0.4	1.6	0.8	0	0	0
620	18.4	73.6	36.8	0	0	0
621	4	16	8	0	0	0
622	4	16	8	0	0	0
623	6.6	26.4	13.2	0	0	0
624	1.2	4.8	2.4	0	0	0
625	13.1	52.3999999999999	26.2	0	0	0
626	4.7	18.8	9.4	0	0	0
627	2.9	11.6	5.8	0	0	0
628	1.2	4.8	2.4	0	0	0
629	0.2	0.8	0.4	0	0	0
630	15.2	60.8	30.4	0	0	0
631	10.6	42.4	21.2	0	0	0
632	2.9	11.6	5.8	0	0	0
633	8.8	35.2	17.6	0	0	0
634	0.6	2.4	1.2	0	0	0
635	0.6	2.4	1.2	0	0	0
636	0.5	2	1	0	0	0
637	0.4	1.6	0.8	0	0	0
638	2.9	11.6	5.8	0	0	0
639	1.4	5.6	2.8	0	0	0
640	5.6	22.4	11.2	0	0	0
641	2.2	8.8	4.4	0	0	0
642	8.3	33.2	16.6	0	0	0
643	7.6	30.4	15.2	0	0	0
