node	agg	layer1	layer2	layer3	layer4
7557	257	0	274	19	0
7668	257	0	193	87	0
7670	257	0	207	77	0
7684	257	0	251	32	0
7698	257	0	266	11	0
7857	257	0	208	77	0
8548	257	0	80	185	0
9539	257	0	116	170	0
9871	257	0	108	170	0
9898	257	0	71	193	0
11868	257	0	24	234	0
12944	257	0	35	222	0
17346	257	0	28	232	0
17761	257	0	25	232	0
17849	257	0	27	231	0
18549	257	0	17	241	0
7473	256	0	272	0	0
7531	256	0	271	13	0
7901	256	0	288	0	0
8735	256	0	136	153	0
10656	256	0	52	215	0
10731	256	0	54	211	0
11874	256	0	25	232	0
13268	256	0	35	221	0
17124	256	0	43	216	0
6499	255	0	163	126	0
7429	255	0	192	74	0
7530	255	0	260	17	0
7782	255	0	268	15	0
7831	255	0	274	13	0
7914	255	0	128	144	0
7951	255	0	191	73	0
8807	255	0	91	169	0
10033	255	0	80	187	0
12941	255	0	29	228	0
6191	254	0	233	27	0
6388	254	0	176	106	0
10032	254	0	82	189	0
12942	254	0	33	222	0
16279	254	0	35	219	0
60771	254	0	0	0	254
7403	253	0	257	14	0
7589	253	0	281	5	0
8458	253	0	93	165	0
8803	253	0	86	187	0
8827	253	0	87	183	0
10194	253	0	83	191	0
11251	253	0	107	153	0
14667	253	0	41	213	0
61387	253	0	0	0	253
6560	252	0	92	172	0
7603	252	0	183	86	0
7868	252	0	142	129	0
8646	252	0	104	152	0
9976	252	0	38	221	0
10192	252	0	109	170	0
16274	252	0	34	219	0
7660	251	0	284	2	0
7704	251	0	268	4	0
7962	251	0	240	34	0
8501	251	0	150	111	0
11838	251	0	26	225	0
12399	251	0	24	231	0
7074	250	0	112	161	0
7414	250	0	269	4	0
7878	250	0	230	52	0
8737	250	0	127	144	0
9833	250	0	102	166	0
17337	250	0	16	237	0
17351	250	0	22	228	0
7386	249	0	207	51	0
7665	249	0	271	6	0
9974	249	0	77	187	0
10184	249	0	96	169	0
16270	249	0	28	222	0
16969	249	0	34	217	0
17850	249	0	0	249	0
6234	248	0	170	104	0
6743	248	0	185	95	0
7469	248	0	252	20	0
7981	248	0	143	132	0
14556	248	0	0	248	0
17846	248	0	23	225	0
7716	247	0	202	63	0
9463	247	0	70	189	0
10460	247	0	130	139	0
16968	247	0	32	216	0
60661	247	0	0	0	247
6463	246	0	80	180	0
7784	246	0	274	0	0
9774	246	0	55	200	0
10317	246	0	151	110	0
10356	246	0	130	129	0
10415	246	0	74	183	0
14603	246	0	27	222	0
17852	246	0	0	246	0
6870	245	0	161	102	0
7656	245	0	194	73	0
9408	245	0	89	172	0
9472	245	0	108	157	0
14601	245	0	31	215	0
16965	245	0	24	222	0
6822	244	0	208	62	0
8657	244	0	68	183	0
8820	244	0	103	156	0
10832	244	0	90	167	0
12874	244	0	29	216	0
17265	244	0	30	215	0
17854	244	0	0	244	0
60664	244	0	0	0	244
7217	243	0	218	54	0
8636	243	0	61	193	0
9428	243	0	93	157	0
10026	243	0	126	139	0
6084	242	0	168	78	0
6680	242	0	184	88	0
8545	242	0	103	149	0
8885	242	0	61	194	0
16998	242	0	38	204	0
17009	242	0	31	213	0
6733	241	0	85	174	0
6936	241	0	177	86	0
7853	241	0	276	0	0
9655	241	0	145	124	0
9786	241	0	130	125	0
12605	241	0	55	186	0
12703	241	0	27	216	0
13660	241	0	31	211	0
16037	241	0	27	214	0
17858	241	0	0	241	0
6286	240	0	168	98	0
6474	240	0	209	55	0
6886	240	0	148	113	0
7230	240	0	121	138	0
7514	240	0	227	28	0
9486	240	0	77	176	0
10649	240	0	84	174	0
13183	240	0	30	210	0
17961	240	0	17	223	0
6397	239	0	171	96	0
7757	239	0	179	84	0
7898	239	0	252	9	0
7961	239	0	153	93	0
10112	239	0	67	183	0
11273	239	0	80	176	0
11352	239	0	103	149	0
13970	239	0	44	197	0
16281	239	0	21	219	0
18299	239	0	17	222	0
5681	238	0	191	75	0
6339	238	0	98	150	0
6408	238	0	189	69	0
6759	238	0	128	132	0
7776	238	0	269	4	0
9292	238	0	108	149	0
10169	238	0	109	134	0
10655	238	0	96	162	0
12478	238	0	16	222	0
7614	237	0	257	4	0
8117	237	0	94	162	0
8245	237	0	41	204	0
10696	237	0	85	169	0
16996	237	0	16	223	0
6138	236	0	216	56	0
6505	236	0	203	65	0
6847	236	0	235	29	0
7362	236	0	146	113	0
7610	236	0	219	35	0
10175	236	0	122	138	0
10406	236	0	71	171	0
16285	236	0	17	219	0
16983	236	0	32	206	0
7373	235	0	168	92	0
7445	235	0	252	13	0
7945	235	0	174	83	0
9537	235	0	82	171	0
10230	235	0	82	174	0
10466	235	0	126	118	0
10559	235	0	123	140	0
14474	235	0	36	199	0
14602	235	0	31	206	0
16417	235	0	33	202	0
16989	235	0	30	205	0
17707	235	0	35	201	0
5689	234	0	138	118	0
6327	234	0	142	104	0
7233	234	0	143	96	0
7424	234	0	178	72	0
7640	234	0	236	11	0
7680	234	0	210	47	0
10374	234	0	89	168	0
10395	234	0	134	113	0
10426	234	0	123	137	0
11000	234	0	161	78	0
11769	234	0	39	197	0
12698	234	0	29	207	0
13978	234	0	13	221	0
15491	234	0	35	201	0
16971	234	0	24	211	0
16973	234	0	22	215	0
17003	234	0	30	204	0
6034	233	0	120	126	0
6238	233	0	109	141	0
7225	233	0	123	132	0
7232	233	0	143	113	0
7376	233	0	179	69	0
7431	233	0	195	57	0
7525	233	0	168	85	0
7621	233	0	252	0	0
7622	233	0	239	10	0
7730	233	0	177	76	0
7761	233	0	242	4	0
7773	233	0	153	113	0
8116	233	0	176	83	0
8736	233	0	71	168	0
8862	233	0	75	164	0
11069	233	0	100	148	0
6478	232	0	140	118	0
6745	232	0	150	103	0
7647	232	0	249	16	0
7748	232	0	187	55	0
8083	232	0	46	187	0
9719	232	0	138	119	0
10547	232	0	66	177	0
16447	232	0	32	201	0
16946	232	0	29	203	0
16974	232	0	29	204	0
16991	232	0	31	202	0
17354	232	0	30	204	0
17754	232	0	46	186	0
18510	232	0	14	218	0
7448	231	0	157	92	0
7495	231	0	250	7	0
7553	231	0	206	33	0
7662	231	0	227	37	0
7715	231	0	246	8	0
8008	231	0	100	139	0
8108	231	0	89	158	0
8466	231	0	111	136	0
8704	231	0	96	153	0
10123	231	0	79	156	0
14613	231	0	24	208	0
14671	231	0	22	209	0
16976	231	0	18	214	0
16981	231	0	32	200	0
16990	231	0	21	210	0
17313	231	0	35	204	0
17856	231	0	0	231	0
60653	231	0	0	0	231
6126	230	0	120	124	0
6285	230	0	147	102	0
6583	230	0	177	76	0
7275	230	0	168	92	0
7778	230	0	242	9	0
7847	230	0	257	10	0
7905	230	0	249	11	0
9126	230	0	48	189	0
16977	230	0	14	217	0
17857	230	0	0	230	0
60665	230	0	0	0	230
6467	229	0	137	113	0
6913	229	0	168	87	0
7360	229	0	162	83	0
7788	229	0	218	28	0
9471	229	0	87	153	0
9489	229	0	98	149	0
16262	229	0	35	195	0
60806	229	0	0	0	229
60808	229	0	0	0	229
7423	228	0	155	98	0
7812	228	0	249	0	0
8220	228	0	159	89	0
8734	228	0	91	153	0
9426	228	0	102	148	0
9445	228	0	120	132	0
9487	228	0	97	150	0
17860	228	0	0	228	0
6333	227	0	221	39	0
7499	227	0	214	42	0
9124	227	0	130	125	0
16978	227	0	21	208	0
17623	227	0	33	194	0
