node	mux	agg	layer1	layer2	layer3	layer4
37361	19.1473987711021	2	1	0	0	0
19341	19.0315024	2	1	0	0	0
318	19	76	38	0	0	0
1652	19	76	38	0	0	0
2375	19	76	38	0	0	0
3033	19	76	38	0	0	0
4773	19	76	38	0	0	0
19409	18.9928345849643	2	1	0	0	0
19484	18.9921443	2	1	0	0	0
19805	18.8810365012745	4	2	0	0	0
34714	18.8704360094252	4	2	0	0	0
37294	18.8227666335218	2	1	0	0	0
37596	18.77299175	6	3	0	0	0
19519	18.74586285	12	6	0	0	0
35685	18.6560769	2	1	0	0	0
33146	18.63261115	2	1	0	0	0
19694	18.62100475	4	2	0	0	0
38089	18.5875876617126	2	1	0	0	0
19596	18.5855894	4	2	0	0	0
19497	18.5504343895589	6	3	0	0	0
37266	18.5457879	2	1	0	0	0
572	18.5	74	37	0	0	0
640	18.5	74	37	0	0	0
1340	18.5	74	37	0	0	0
2340	18.5	74	37	0	0	0
2580	18.5	74	37	0	0	0
3550	18.5	74	37	0	0	0
34134	18.4421167	2	1	0	0	0
19470	18.4071678	2	1	0	0	0
19360	18.3605981581804	2	1	0	0	0
19394	18.29735215	8	4	0	0	0
19678	18.288669	2	1	0	0	0
35054	18.2657643	2	1	0	0	0
37426	18.2464821289424	2	1	0	0	0
20341	18.22967395	2	1	0	0	0
37620	18.2021883	2	1	0	0	0
37898	18.1608578784585	4	2	0	0	0
19384	18.1391604	2	1	0	0	0
19399	18.07431495	4	2	0	0	0
19792	18.0089608	2	1	0	0	0
1182	18	72	36	0	0	0
1830	18	72	36	0	0	0
2378	18	72	36	0	0	0
2850	18	72	36	0	0	0
3697	18	72	36	0	0	0
3749	18	72	36	0	0	0
5394	18	72	36	0	0	0
37585	17.9925987128636	6	3	0	0	0
37186	17.971832925265	2	1	0	0	0
19347	17.92777525	2	1	0	0	0
37545	17.9259115540509	4	2	0	0	0
19416	17.91368895	2	1	0	0	0
33132	17.90256865	2	1	0	0	0
36482	17.9012311028447	2	1	0	0	0
20358	17.8523328	2	1	0	0	0
37459	17.8511414268697	2	1	0	0	0
19525	17.84991705	12	6	0	0	0
37747	17.84747825	2	1	0	0	0
33305	17.8180924741202	2	1	0	0	0
33135	17.754032014945	2	1	0	0	0
37615	17.75301855	2	1	0	0	0
19350	17.73308455819	2	1	0	0	0
19876	17.67172685	4	2	0	0	0
36117	17.67169675	2	1	0	0	0
37682	17.6677605594504	2	1	0	0	0
37149	17.66691175	4	2	0	0	0
19492	17.58645835	2	1	0	0	0
37242	17.55240135	4	2	0	0	0
771	17.5	70	35	0	0	0
1239	17.5	70	35	0	0	0
1565	17.5	70	35	0	0	0
2296	17.5	70	35	0	0	0
2444	17.5	70	35	0	0	0
4013	17.5	70	35	0	0	0
4033	17.5	70	35	0	0	0
4077	17.5	70	35	0	0	0
4312	17.5	70	35	0	0	0
4383	17.5	70	35	0	0	0
4775	17.5	70	35	0	0	0
20437	17.48512255	4	2	0	0	0
19509	17.45262055	2	1	0	0	0
19663	17.43236645	4	2	0	0	0
37769	17.4267541	6	3	0	0	0
37417	17.3818790178484	2	1	0	0	0
19480	17.3660187	26	13	0	0	0
19461	17.3571195755193	2	1	0	0	0
19352	17.35605825	4	2	0	0	0
37578	17.3488511256998	4	2	0	0	0
19422	17.300481	2	1	0	0	0
37441	17.2953319049711	2	1	0	0	0
19368	17.29496375	2	1	0	0	0
19367	17.28419745	2	1	0	0	0
37377	17.2653341649945	2	1	0	0	0
40330	17.25	14.0156498	0	6.0969756	0.9108493	0
19781	17.2462472731778	2	1	0	0	0
19905	17.213797326915	2	1	0	0	0
37607	17.1874324908005	6	3	0	0	0
35891	17.1872945	4	2	0	0	0
19765	17.1648645732429	2	1	0	0	0
19370	17.1250974	2	1	0	0	0
19372	17.1164707567433	2	1	0	0	0
19791	17.096340931293	2	1	0	0	0
389	17	68	34	0	0	0
774	17	68	34	0	0	0
1212	17	68	34	0	0	0
1952	17	68	34	0	0	0
2238	17	68	34	0	0	0
2464	17	68	34	0	0	0
3322	17	68	34	0	0	0
4639	17	68	34	0	0	0
4703	17	68	34	0	0	0
19591	16.98457645	6	3	0	0	0
19494	16.9724157665996	2	1	0	0	0
37644	16.9672811988423	6	3	0	0	0
34783	16.95651235	2	1	0	0	0
19673	16.95399715	2	1	0	0	0
19655	16.9526125057509	4	2	0	0	0
35786	16.9435813913307	2	1	0	0	0
33343	16.9243552	2	1	0	0	0
19479	16.9168223030497	2	1	0	0	0
37382	16.9015849007427	2	1	0	0	0
37799	16.8670196733708	2	1	0	0	0
19594	16.8625865	4	2	0	0	0
37556	16.8311559	2	1	0	0	0
19462	16.81439885	2	1	0	0	0
19679	16.79980055	2	1	0	0	0
37946	16.7412741	2	1	0	0	0
19459	16.6868737	4	2	0	0	0
34116	16.6586773489332	6	3	0	0	0
19555	16.6007625	4	2	0	0	0
19891	16.57786965	4	2	0	0	0
19478	16.5582633	2	1	0	0	0
37305	16.5579309967041	4	2	0	0	0
19433	16.54736835	4	2	0	0	0
33259	16.53983455	2	1	0	0	0
19578	16.51479445	4	2	0	0	0
33520	16.510704498651	2	1	0	0	0
19605	16.5072532678695	2	1	0	0	0
281	16.5	66	33	0	0	0
2398	16.5	66	33	0	0	0
2466	16.5	66	33	0	0	0
2538	16.5	66	33	0	0	0
3010	16.5	66	33	0	0	0
3011	16.5	66	33	0	0	0
3021	16.5	66	33	0	0	0
3865	16.5	66	33	0	0	0
3969	16.5	66	33	0	0	0
4254	16.5	66	33	0	0	0
4702	16.5	66	33	0	0	0
4776	16.5	66	33	0	0	0
5272	16.5	66	33	0	0	0
37363	16.4924404	2	1	0	0	0
19392	16.3881781	8	4	0	0	0
36383	16.3584978516549	2	1	0	0	0
19502	16.3443160229935	6	3	0	0	0
19514	16.298885875263	8	4	0	0	0
40328	16.25	1.8737224	0	0.9368612	0	0
19877	16.2455558	4	2	0	0	0
19499	16.17622095	6	3	0	0	0
19826	16.14938935	2	1	0	0	0
37396	16.1374141045551	4	2	0	0	0
33907	16.1322503	2	1	0	0	0
19574	16.0914750234831	2	1	0	0	0
33947	16.0841256	4	2	0	0	0
19407	16.0813332	4	2	0	0	0
21306	16.0797938	2	1	0	0	0
19380	16.0789763	4	2	0	0	0
37296	16.0780374006469	2	1	0	0	0
19852	16.07369025	2	1	0	0	0
33884	16.0706481626097	2	1	0	0	0
37739	16.0553053902133	4	2	0	0	0
37320	16.00227695	2	1	0	0	0
246	16	64	32	0	0	0
909	16	64	32	0	0	0
1243	16	64	32	0	0	0
1921	16	64	32	0	0	0
3170	16	64	32	0	0	0
3247	16	64	32	0	0	0
3656	16	64	32	0	0	0
4711	16	64	32	0	0	0
4825	16	64	32	0	0	0
5125	16	64	32	0	0	0
19799	15.99877635	2	1	0	0	0
19689	15.9213654	6	3	0	0	0
37537	15.9137000120451	2	1	0	0	0
19633	15.902980254953	2	1	0	0	0
19520	15.88933	10	5	0	0	0
19346	15.8878067	2	1	0	0	0
19748	15.82929985	8	4	0	0	0
19709	15.82091915	2	1	0	0	0
20268	15.7503833	6	3	0	0	0
19696	15.696490534323	6	3	0	0	0
37329	15.6713511173246	2	1	0	0	0
20832	15.6608222861409	6	3	0	0	0
37222	15.65806245	2	1	0	0	0
19406	15.6014947186117	2	1	0	0	0
20695	15.5915288	2	1	0	0	0
19528	15.56909705	4	2	0	0	0
19844	15.5626334	4	2	0	0	0
19793	15.55463135	2	1	0	0	0
19426	15.5523913	2	1	0	0	0
19577	15.51539995	2	1	0	0	0
37451	15.5098601219895	4	2	0	0	0
329	15.5	62	31	0	0	0
607	15.5	62	31	0	0	0
1098	15.5	62	31	0	0	0
1341	15.5	62	31	0	0	0
