"name"	"Double_NR"	"Double_R"	"distance"
"140"	"2-Hydroxyadipic"	0.471237856720367	0.460824838581933	-0.0177
"141"	"2-Methyl-3-Oxo-Valeryl"	0.291857734289366	0.280889177005726	-0.0188
"142"	"2-amino-3-carboxymuconate"	0	0	-0.0121
"143"	"2-aminoadipate"	0.332350164546444	0.312327212408945	-0.025
"144"	"2-aminomuconate"	0	0	-0.0121
"145"	"2-hydroxy"	0.424462355588578	0.40643874156714	-0.0233
"146"	"2-hydroxy-atorvastatin-acid"	0.393751515718589	0.375825604689069	-0.0233
"147"	"2-hydroxy-atorvastatin-lactone"	0.38429845440904	0.366472370025039	-0.0233
"148"	"2-lysolecithin"	0.282837252878385	0.265195962496802	-0.0235
"149"	"2-methoxy-6-all"	0	0	-0.0121
"150"	"2-methylglutaconic"	0	0	-0.0121
"151"	"20-OH-hepoxilin"	0	0	-0.0121
"152"	"20alpha,22beta"	0	0	-0.0121
"153"	"23S,25,26-trihydroxyvitamin"	0	0	-0.0121
"154"	"23s,25-dihydroxyvitamin"	0	0	-0.0121
"155"	"24(R),25(R)-Varanoyl"	0.324754420261213	0.310567602158368	-0.0209
"156"	"24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin"	0	0	-0.0121
"157"	"24-Oxo-25(R)-Trihydroxycoprostanoyl"	0.309703068892821	0.296131533449757	-0.0205
"158"	"24-oxo-1alpha,23,25-trihydroxyvitamin"	0	0	-0.0121
"159"	"24-oxo-1alpha,25-dihydroxyvitamin"	0	0	-0.0121
"160"	"24R,25-dihyoxyvitamin"	0.328595143341018	0.308621012620786	-0.025
"161"	"25-hydroxyvitamin"	0.44360148130616	0.425851452020369	-0.023
"162"	"3''-hydroxy-lovastatin"	0.328595143341018	0.308621012620786	-0.025
"163"	"3',5'-dihydrodiol-simvastatin-lactone"	0.328595143341018	0.308621012620786	-0.025
"164"	"3'-alpha,5'beta-dihydroxy-pravastatin"	0.427924850568772	0.410946001409829	-0.0225
"165"	"3'-hydroxy-iso-delta-4',5'-hydroxy"	0.328595143341018	0.308621012620786	-0.025
"166"	"3'-hydroxy-simvastatin-acid"	0.328595143341018	0.30827404700364	-0.0253
"167"	"3'-hydroxy-simvastatin-lactone"	0.205889884174692	0.183072049477685	-0.0275
"168"	"3(S)-2-Hydroxyphytanoyl"	0	0	-0.0121
"169"	"3(S)-3-Hydroxydodecen-(5Z)-Oyl"	0.324754420261213	0.310567602158368	-0.0209
"170"	"3(S)-Hydroxy-Cis-9-Octadecenoyl"	0.257244654079622	0.242941150060138	-0.0213
"171"	"3(S)-Phytanoyl"	0.299036416695234	0.277608456847172	-0.0262
"172"	"3,4-dihydro-3-hydroxy-4-S-glutathionyl"	0	0	-0.0121
"173"	"3,6,9,12,15-Octadecapentenoyl"	0	0	-0.0121
"174"	"3,6,9,12-Octadecatetraenoyl"	0	0	-0.0121
"175"	"3,6,9-Dodecatrienoyl"	0	0	-0.0121
"176"	"3,6-Dodecadienoyl"	0	0	-0.0121
"177"	"3,7,10,13,16,19-Docosahexenoyl"	0	0	-0.0121
"178"	"3,7,10,13,16-Docosapentenoyl"	0	0	-0.0121
"179"	"3,7,10,13-Hexadecatetraenoyl"	0	0	-0.0121
"180"	"3,7,10-Hexadecatrienoyl"	0	0	-0.0121
"181"	"3,7-Decadienoyl"	0	0	-0.0121
"182"	"3-(3-Hydroxy-Phenyl)Propionate"	0.394942333444506	0.376318221418482	-0.0238
"183"	"3-(acyloxy)acyl"	0	0	-0.0121
"184"	"3-Adenosine"	0	0	-0.0121
"185"	"3-Dehydrochenodeoxychollyc"	0.301413613769997	0.300939535088056	-0.0113
"186"	"3-Dehydrocholic"	0.301379090833977	0.300939535088056	-0.0113
"187"	"3-Hexenoyl"	0	0	-0.0121
"188"	"3-Hydoxy-Suberic"	0.328350347262907	0.308621012620786	-0.0248
"189"	"3-Hydoxy-Suberyl"	0	0	-0.0121
"190"	"3-Hydroxy"	0.376332563516621	0.361821492766287	-0.021
"191"	"3-Hydroxy-Adipoyl"	0	0	-0.0121
"192"	"3-Hydroxy-Glutaryl"	0	0	-0.0121
"193"	"3-Hydroxy-Isovaleryl"	0.376874362192216	0.362266965791612	-0.021
"194"	"3-Hydroxy-Octadecenoyl"	0.293242398957424	0.275261188310654	-0.0237
"195"	"3-Hydroxy-Sebacic"	0.326134300518356	0.308621012620786	-0.0233
"196"	"3-Hydroxy-Sebacoyl"	0	0	-0.0121
"197"	"3-Hydroxy-Tetradecanoyl"	0.377501723119831	0.36288716385639	-0.021
"198"	"3-Hydroxycinnamic"	0.169519335147045	0.146682087964383	-0.0276
"199"	"3-Hydroxyhexadecanoyl"	0.266715881325628	0.263368189370687	-0.0135
"200"	"3-Hydroxyhexadecenoyl"	0.265989572923557	0.262638368938759	-0.0135
"201"	"3-Hydroxyisovaleric"	0.298396554428572	0.290134801970854	-0.0168
"202"	"3-Hydroxyisovaleryl"	0.328466319097626	0.323928408996569	-0.0141
"203"	"3-Hydroxyoctadecadienoyl"	0.266315107341356	0.262407237267918	-0.0139
"204"	"3-Hydroxyoctadecanoyl"	0.310198882720561	0.294287411281723	-0.0222
"205"	"3-Hydroxyoctadecenoyl"	0.25548319483119	0.2524273473141	-0.0133
"206"	"3-Hydroxyphenylpropionic"	0.169519335147045	0.146682087964383	-0.0276
"207"	"3-Oxo-Cis-8-Tetradecenoyl"	0.314008187026004	0.300655788522199	-0.0204
"208"	"3-Oxo-Cis-9-Octadecenoyl"	0	0	-0.0121
"209"	"3-Oxolaur-Cis-5-Enoyl"	0.317470239551719	0.304042799485312	-0.0204
"210"	"3-deoxy-D-glycero-D-galacto-2-nonulosonic"	0.378092963087192	0.366377906381536	-0.019
"211"	"3-hydroxy"	0.459494987283412	0.442068432205104	-0.0227
"212"	"3-sulfinylpyruvic"	0	0	-0.0121
"213"	"31-O-Desmethyl,19-Hydroxy,37,"	0.328595143341018	0.308621012620786	-0.025
"214"	"3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl"	0	0	-0.0121
"215"	"4,7,10,13-Hexadecatetraenoyl"	0	0	-0.0121
"216"	"4,7,10-Hexadecatrienoyl"	0	0	-0.0121
"217"	"4,7-Decadienoyl"	0	0	-0.0121
"218"	"4,8-Dimethylnonanoyl"	0.340264231655928	0.3276535233485	-0.0197
"219"	"4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic"	0	0	-0.0121
"220"	"4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol"	0	0	-0.0121
"221"	"4-hydroxy-2-quinolinecarboxylic"	0.372866745131139	0.343267463578041	-0.0317
"222"	"4-hydroxy-atorvastatin-acid"	0.390095272700333	0.372212139837692	-0.0233
"223"	"4-hydroxy-atorvastatin-lactone"	0.390095583306618	0.372209906109207	-0.0233
"224"	"4-hydroxyretinoic"	0.394942333444506	0.374622004567149	-0.025
"225"	"4-hydroxyvitamin"	0	0	-0.0121
"226"	"4-methylthio-2-oxobutanoic"	0	0	-0.0121
"227"	"5,6-Epoxy-Alpha-Tocopheryl"	0.129678331723028	0.106016608142857	-0.0284
"228"	"5,6-epoxy-(8Z)-tetradecenoic"	0	0	-0.0121
"229"	"5,8,11,14,17-Eicosapentenoic"	0.299251699253409	0.28616964378346	-0.0202
"230"	"5,8,11,14,17-Eicosapentenoyl"	0	0	-0.0121
"231"	"5,8,11,14-Eicosatetraenoyl"	0	0	-0.0121
"232"	"5,8,11-Tetradecatrienoyl"	0	0	-0.0121
"233"	"5,8-Tetradecadienoyl"	0	0	-0.0121
"234"	"5-Dodecenoyl"	0	0	-0.0121
"235"	"5-Hydroxyhexanoic"	0.322229343870028	0.3059492341009	-0.0224
"236"	"5-Octenoyl"	0	0	-0.0121
"237"	"5-S-Cysteinylglycine"	0.415647290940138	0.391541615138593	-0.0276
"238"	"5-amino-2-oxopentanoic"	0.424462355588578	0.40643874156714	-0.0233
"239"	"6'-beta-carboxy-simvastatin-acid"	0.328595143341018	0.308621012620786	-0.025
"240"	"6'-beta-carboxy-simvastatin-lactone"	0.126613949827913	0.102904134992488	-0.0284
"241"	"6'-beta-hydroxy"	0.328595143341018	0.308621012620786	-0.025
"242"	"6'-beta-hydroxy-lovastatin"	0.328574472229625	0.308516317203065	-0.0251
"243"	"6'-beta-hydroxy-lovastatin-acid"	0.205889884174692	0.183418871937243	-0.0272
"244"	"6'-beta-hydroxy-methyl-simvastatin-acid"	0.328595143341018	0.308621012620786	-0.025
