nodeID nodeLabel DNA_methylation_logFC DNA_methylation_P.Value GRN_size GRN_nes GRN_pval GRN_pval.fdr fPPI_IDH2_vs_IDH1_diff fPPI_IDH2_vs_IDH1_p.val Metabolism_pvalue Metabolism_mean.diff
260 frag_107738 0.111903448146133 0.0360033895568948 0 0 1 NA NA NA NA NA
261 frag_107790 0.112748508371892 0.0203759141293067 0 0 1 NA NA NA NA NA
262 frag_107791 0 1 0 0 1 NA NA NA NA NA
263 frag_107792 0 1 0 0 1 NA NA NA NA NA
264 frag_107795 0 1 0 0 1 NA NA NA NA NA
265 frag_107798 0 1 0 0 1 NA NA NA NA NA
266 frag_107801 0 1 0 0 1 NA NA NA NA NA
267 frag_107802 0 1 0 0 1 NA NA NA NA NA
268 frag_107803 0 1 0 0 1 NA NA NA NA NA
269 frag_107804 0 1 0 0 1 NA NA NA NA NA
270 frag_107805 0 1 0 0 1 NA NA NA NA NA
271 frag_107806 0 1 0 0 1 NA NA NA NA NA
272 frag_107807 0 1 0 0 1 NA NA NA NA NA
273 frag_107808 0 1 0 0 1 NA NA NA NA NA
274 frag_107809 0 1 0 0 1 NA NA NA NA NA
275 frag_107865 -0.158578247016914 0.0100009549778964 0 0 1 NA NA NA NA NA
276 frag_10787 0 1 0 0 1 NA NA NA NA NA
277 frag_10788 0 1 0 0 1 NA NA NA NA NA
278 frag_10789 0 1 0 0 1 NA NA NA NA NA
279 frag_10791 0 1 0 0 1 NA NA NA NA NA
280 frag_10792 0 1 0 0 1 NA NA NA NA NA
281 frag_10793 0 1 0 0 1 NA NA NA NA NA
282 frag_10794 0 1 0 0 1 NA NA NA NA NA
283 frag_10795 0 1 0 0 1 NA NA NA NA NA
284 frag_10796 0 1 0 0 1 NA NA NA NA NA
285 frag_10797 0 1 0 0 1 NA NA NA NA NA
286 frag_10798 0 1 0 0 1 NA NA NA NA NA
287 frag_10799 0 1 0 0 1 NA NA NA NA NA
288 frag_10800 0 1 0 0 1 NA NA NA NA NA
289 frag_10801 0 1 0 0 1 NA NA NA NA NA
290 frag_10802 0 1 0 0 1 NA NA NA NA NA
291 frag_10803 0 1 0 0 1 NA NA NA NA NA
292 frag_10804 0 1 0 0 1 NA NA NA NA NA
293 frag_10805 0 1 0 0 1 NA NA NA NA NA
294 frag_10806 0 1 0 0 1 NA NA NA NA NA
295 frag_108067 0 1 0 0 1 NA NA NA NA NA
296 frag_108070 0 1 0 0 1 NA NA NA NA NA
297 frag_108071 0 1 0 0 1 NA NA NA NA NA
298 frag_108072 0 1 0 0 1 NA NA NA NA NA
299 frag_108073 0 1 0 0 1 NA NA NA NA NA
300 frag_108148 0 1 0 0 1 NA NA NA NA NA
301 frag_108150 0 1 0 0 1 NA NA NA NA NA
302 frag_108151 0 1 0 0 1 NA NA NA NA NA
303 frag_108154 0 1 0 0 1 NA NA NA NA NA
304 frag_108155 0 1 0 0 1 NA NA NA NA NA
305 frag_108156 0 1 0 0 1 NA NA NA NA NA
306 frag_108162 0.128564068824148 0.0423670141530921 0 0 1 NA NA NA NA NA
307 frag_108710 0 1 0 0 1 NA NA NA NA NA
308 frag_108736 0 1 0 0 1 NA NA NA NA NA
309 frag_110075 0.144013594182281 0.023467601436349 0 0 1 NA NA NA NA NA
310 frag_110216 0 1 0 0 1 NA NA NA NA NA
311 frag_110325 0 1 0 0 1 NA NA NA NA NA
312 frag_110349 0.109160827789075 0.0329578451356395 0 0 1 NA NA NA NA NA
313 frag_110447 -0.132397434930968 0.00215992527686773 0 0 1 NA NA NA NA NA
314 frag_110518 0 1 0 0 1 NA NA NA NA NA
315 frag_110519 0 1 0 0 1 NA NA NA NA NA
316 frag_110564 0 1 0 0 1 NA NA NA NA NA
317 frag_110570 0 1 0 0 1 NA NA NA NA NA
318 frag_110580 0 1 0 0 1 NA NA NA NA NA
319 frag_110582 0 1 0 0 1 NA NA NA NA NA
320 frag_110583 0 1 0 0 1 NA NA NA NA NA
321 frag_110586 0 1 0 0 1 NA NA NA NA NA
322 frag_110587 0 1 0 0 1 NA NA NA NA NA
323 frag_110588 0 1 0 0 1 NA NA NA NA NA
324 frag_110711 0 1 0 0 1 NA NA NA NA NA
325 frag_110714 0 1 0 0 1 NA NA NA NA NA
326 frag_110715 0 1 0 0 1 NA NA NA NA NA
327 frag_110716 0.136635258170456 0.0102520311011366 0 0 1 NA NA NA NA NA
328 frag_110717 0 1 0 0 1 NA NA NA NA NA
329 frag_110718 0 1 0 0 1 NA NA NA NA NA
330 frag_110719 0 1 0 0 1 NA NA NA NA NA
331 frag_110720 0 1 0 0 1 NA NA NA NA NA
332 frag_110721 0 1 0 0 1 NA NA NA NA NA
333 frag_110722 0 1 0 0 1 NA NA NA NA NA
334 frag_110723 0 1 0 0 1 NA NA NA NA NA
