""	"x"
"762"	"ZC2HC1C"
"763"	"C14orf1"
"764"	"TTLL5"
"765"	"SNORA79"
"766"	"GTF2A1"
"767"	"STON2"
"768"	"SEL1L"
"769"	"FOXN3-AS1"
"770"	"FOXN3"
"771"	"C14orf180"
"772"	"RP11-614O9.1"
"773"	"TMEM179"
"774"	"TJP1"
"775"	"CTD-2022H16.1"
"776"	"FMN1"
"777"	"SNORD77"
"778"	"THBS1"
"779"	"PLCB2"
"780"	"RP11-133K1.1"
"781"	"RP11-133K1.6"
"782"	"C15orf52"
"783"	"PHGR1"
"784"	"RNA5SP392"
"785"	"DISP2"
"786"	"JMJD7"
"787"	"JMJD7-PLA2G4B"
"788"	"PLA2G4B"
"789"	"RNA5SP393"
"790"	"SPTBN5"
"791"	"CDAN1"
"792"	"RNU6-966P"
"793"	"RNU6-953P"
"794"	"GATM"
"795"	"SPATA5L1"
"796"	"C15orf48"
"797"	"MIR147B"
"798"	"RNU7-5P"
"799"	"RP11-519G16.3"
"800"	"HMGN2P46"
"801"	"SNORA41"
"802"	"BLOC1S6"
"803"	"RP11-96O20.4"
"804"	"RSL24D1"
"805"	"ZNF609"
"806"	"AAGAB"
"807"	"IQCH"
"808"	"PARP6"
"809"	"ARIH1"
"810"	"RP11-1007O24.2"
"811"	"RP11-1007O24.3"
"812"	"MIR630"
"813"	"BBS4"
"814"	"HIGD2B"
"815"	"RP11-361M10.4"
"816"	"PPCDC"
"817"	"RP11-151H2.1"
"818"	"C15orf40"
"819"	"RP11-382A20.7"
"820"	"ZSCAN2"
"821"	"NMB"
"822"	"WDR73"
"823"	"SEC11A"
"824"	"ZNF592"
"825"	"ALPK3"
"826"	"SLC28A1"
"827"	"RNU7-79P"
"828"	"RNU6-1280P"
"829"	"MIR1276"
"830"	"RP11-158M2.6"
"831"	"KLHL25"
"832"	"NTRK3"
"833"	"MRPL46"
"834"	"MRPS11"
"835"	"MIR1179"
"836"	"MIR7-2"
"837"	"AEN"
"838"	"ANPEP"
"839"	"CTD-2315E11.1"
"840"	"IDH2"
"841"	"ADAMTS17"
"842"	"SPATA41"
"843"	"ASB7"
"844"	"LINS"
"845"	"CACNA1H"
"846"	"MIR3180-5"
"847"	"PKD1"
"848"	"RAB26"
"849"	"RP11-304L19.5"
"850"	"SNORD60"
"851"	"TRAF7"
"852"	"BRICD5"
"853"	"DNASE1L2"
"854"	"E4F1"
"855"	"MLST8"
"856"	"PGP"
"857"	"RP11-304L19.11"
"858"	"RP11-304L19.12"
"859"	"RP11-304L19.8"
"860"	"IL32"
"861"	"RNU1-125P"
"862"	"ERCC4"
"863"	"RPS26P52"
"864"	"MIR193B"
"865"	"MIR365A"
"866"	"PARN"
"867"	"BFAR"
"868"	"RNU7-125P"
"869"	"COQ7"
"870"	"RP11-626G11.1"
"871"	"RP11-626G11.5"
"872"	"SYT17"
"873"	"CACNG3"
"874"	"SNORA1"
"875"	"RNU7-24P"
"876"	"AC135048.13"
"877"	"ORAI3"
"878"	"SETD1A"
"879"	"AC135048.1"
"880"	"HSD3B7"
"881"	"STX1B"
"882"	"STX4"
"883"	"AC135050.5"
"884"	"ZNF668"
"885"	"ZNF646"
"886"	"PRSS53"
"887"	"RP11-196G11.1"
"888"	"VKORC1"
"889"	"AC135050.1"
"890"	"BCKDK"
"891"	"KAT8"
"892"	"RP11-196G11.4"
"893"	"FUS"
"894"	"RP11-388M20.6"
"895"	"PYDC1"
"896"	"RNU7-199P"
"897"	"ITGAX"
"898"	"RP11-120K18.3"
"899"	"ITGAD"
"900"	"COX6A2"
"901"	"ARMC5"
"902"	"SLC5A2"
"903"	"TGFB1I1"
"904"	"RP11-170L3.2"
"905"	"ZNF267"
"906"	"PAPD5"
"907"	"RPL10P14"
"908"	"SNORA70"
"909"	"BRD7"
"910"	"RP11-21B23.1"
"911"	"SNX20"
"912"	"AKTIP"
"913"	"FTO"
"914"	"RPGRIP1L"
"915"	"IRX3"
"916"	"CRNDE"
"917"	"IRX5"
"918"	"AC132186.1"
"919"	"BEAN1"
"920"	"CKLF-CMTM1"
"921"	"CKLF"
"922"	"TK2"
"923"	"CMTM1"
"924"	"CMTM3"
"925"	"PDP2"
"926"	"CDH16"
"927"	"RRAD"
"928"	"CES2"
"929"	"FAM96B"
"930"	"CES3"
"931"	"RP11-361L15.4"
"932"	"CES4A"
"933"	"CBFB"
"934"	"ELMO3"
"935"	"MIR328"
"936"	"FHOD1"
"937"	"SLC9A5"
"938"	"PLEKHG4"
"939"	"HYDIN"
"940"	"PMFBP1"
"941"	"AC009120.4"
"942"	"PSMD7"
"943"	"WDR59"
"944"	"ZNRF1"
"945"	"ZFPM1"
"946"	"BHLHA9"
"947"	"TUSC5"
"948"	"CRK"
"949"	"MYO1C"
"950"	"INPP5K"
"951"	"PITPNA-AS1"
"952"	"GLTPD2"
"953"	"VMO1"
"954"	"PSMB6"
"955"	"PLD2"
"956"	"RP11-81A22.5"
"957"	"MINK1"
"958"	"C17orf107"
