"name"	"mIDH2_NR"	"mIDH2_R"	"distance"
"134"	"2,7,10,13,16,19-Docosahexenoyl"	0	0	0.0224895280476119
"135"	"2,7,10,13,16-Docosapentenoyl"	0	0	0.0224895280476119
"136"	"2,7,10,13-Hexadecatetraenoyl"	0	0	0.0224895280476119
"137"	"2,7,10-Hexadecatrienoyl"	0	0	0.0224895280476119
"138"	"2,7-Decadienoyl"	0	0	0.0224895280476119
"139"	"2-(S-glutathionyl)acetyl"	0	0	0.0224895280476119
"140"	"2-Hydroxyadipic"	0.677662470618823	0.68441360435838	0.000314401352056095
"141"	"2-Methyl-3-Oxo-Valeryl"	0.556378419414506	0.567719865543027	-0.00151541531439567
"142"	"2-amino-3-carboxymuconate"	0	0	0.0224895280476119
"143"	"2-aminoadipate"	0.591301021174253	0.598314297006483	0.00201789620351891
"144"	"2-aminomuconate"	0	0	0.0224895280476119
"145"	"2-hydroxy"	0.649311188829555	0.655589658193836	0.00143235743164008
"146"	"2-hydroxy-atorvastatin-acid"	0.62836863662576	0.634191175856057	0.0023649522647581
"147"	"2-hydroxy-atorvastatin-lactone"	0.622413970348176	0.627922244735267	0.00281474878442936
"148"	"2-lysolecithin"	0.562439294140522	0.569671392283834	0.00245598362813384
"149"	"2-methoxy-6-all"	0	0	0.0224895280476119
"150"	"2-methylglutaconic"	0	0	0.0224895280476119
"151"	"20-OH-hepoxilin"	0	0	0.0224895280476119
"152"	"20alpha,22beta"	0	0	0.0224895280476119
"153"	"23S,25,26-trihydroxyvitamin"	0	0	0.0224895280476119
"154"	"23s,25-dihydroxyvitamin"	0	0	0.0224895280476119
"155"	"24(R),25(R)-Varanoyl"	0.584523689497755	0.594468232975624	-0.000759115421503396
"156"	"24,25,26,27-Tetranor-23-Oxo-Hydroxyvitamin"	0	0	0.0224895280476119
"157"	"24-Oxo-25(R)-Trihydroxycoprostanoyl"	0.576088160561297	0.585760423663601	-0.000294837488840381
"158"	"24-oxo-1alpha,23,25-trihydroxyvitamin"	0	0	0.0224895280476119
"159"	"24-oxo-1alpha,25-dihydroxyvitamin"	0	0	0.0224895280476119
"160"	"24R,25-dihyoxyvitamin"	0.590579900937925	0.598330771550877	0.00129671453983917
"161"	"25-hydroxyvitamin"	0.660363468845098	0.666199475345245	0.00162326395836567
"162"	"3''-hydroxy-lovastatin"	0.590579900937925	0.598330771550877	0.00129671453983917
"163"	"3',5'-dihydrodiol-simvastatin-lactone"	0.590579900937925	0.59746167380139	0.00216581228932602
"164"	"3'-alpha,5'beta-dihydroxy-pravastatin"	0.647723494169355	0.65245531742106	0.00301514040041953
"165"	"3'-hydroxy-iso-delta-4',5'-hydroxy"	0.590579900937925	0.598330771550877	0.00129671453983917
"166"	"3'-hydroxy-simvastatin-acid"	0.590579900937925	0.591740829709923	0.00788665638079291
"167"	"3'-hydroxy-simvastatin-lactone"	0.515406502393715	0.518249985397104	0.0079150925316285
"168"	"3(S)-2-Hydroxyphytanoyl"	0	0	0.0224895280476119
"169"	"3(S)-3-Hydroxydodecen-(5Z)-Oyl"	0.584523689497755	0.594468232975624	-0.000759115421503396
"170"	"3(S)-Hydroxy-Cis-9-Octadecenoyl"	0.545786558606915	0.558676113711274	-0.00282244736245505
"171"	"3(S)-Phytanoyl"	0.571492038142323	0.578725444196446	0.0022486299854583
"172"	"3,4-dihydro-3-hydroxy-4-S-glutathionyl"	0	0	0.0224895280476119
"173"	"3,6,9,12,15-Octadecapentenoyl"	0	0	0.0224895280476119
"174"	"3,6,9,12-Octadecatetraenoyl"	0	0	0.0224895280476119
"175"	"3,6,9-Dodecatrienoyl"	0	0	0.0224895280476119
"176"	"3,6-Dodecadienoyl"	0	0	0.0224895280476119
"177"	"3,7,10,13,16,19-Docosahexenoyl"	0	0	0.0224895280476119
"178"	"3,7,10,13,16-Docosapentenoyl"	0	0	0.0224895280476119
"179"	"3,7,10,13-Hexadecatetraenoyl"	0	0	0.0224895280476119
"180"	"3,7,10-Hexadecatrienoyl"	0	0	0.0224895280476119
"181"	"3,7-Decadienoyl"	0	0	0.0224895280476119
"182"	"3-(3-Hydroxy-Phenyl)Propionate"	0.631226250314527	0.638067641666742	0.00128105918909429
"183"	"3-(acyloxy)acyl"	0	0	0.0224895280476119
"184"	"3-Adenosine"	0	0	0.0224895280476119
"185"	"3-Dehydrochenodeoxychollyc"	0.575236606971301	0.591594492556031	-0.00696107811504274
"186"	"3-Dehydrocholic"	0.575209369961575	0.591594492556031	-0.0069876951945462
"187"	"3-Hexenoyl"	0	0	0.0224895280476119
"188"	"3-Hydoxy-Suberic"	0.590299543576176	0.598330771550877	0.00102273827511248
"189"	"3-Hydoxy-Suberyl"	0	0	0.0224895280476119
"190"	"3-Hydroxy"	0.61727543848695	0.625620262001009	9.5155638747537e-05
"191"	"3-Hydroxy-Adipoyl"	0	0	0.0224895280476119
"192"	"3-Hydroxy-Glutaryl"	0	0	0.0224895280476119
"193"	"3-Hydroxy-Isovaleryl"	0.617708232638131	0.625672707009389	0.000465654134317563
"194"	"3-Hydroxy-Octadecenoyl"	0.56839370777231	0.577713985594617	0.00023227802303907
"195"	"3-Hydroxy-Sebacic"	0.589162060796669	0.598330771550877	-8.88547331012492e-05
"196"	"3-Hydroxy-Sebacoyl"	0	0	0.0224895280476119
"197"	"3-Hydroxy-Tetradecanoyl"	0.61798755471536	0.626529179385553	-0.000117853697958668
"198"	"3-Hydroxycinnamic"	0.495250709698095	0.506211230010343	0.000256812816761289
"199"	"3-Hydroxyhexadecanoyl"	0.545516415506694	0.556424030719794	-0.000834358856722981
"200"	"3-Hydroxyhexadecenoyl"	0.544997585280588	0.556026817977606	-0.000944167462181043
"201"	"3-Hydroxyisovaleric"	0.573784496107638	0.583943787676854	-0.000729433209588824
"202"	"3-Hydroxyisovaleryl"	0.58292937598715	0.591601565696202	0.000549525852412105
"203"	"3-Hydroxyoctadecadienoyl"	0.54514528886091	0.556614696836493	-0.00138770456035495
"204"	"3-Hydroxyoctadecanoyl"	0.578866513307739	0.589227507830941	-0.00104680583822245
"205"	"3-Hydroxyoctadecenoyl"	0.537514006828997	0.547493183246217	0.000276219426625725
"206"	"3-Hydroxyphenylpropionic"	0.495250709698095	0.506211230010343	0.000256812816761289
"207"	"3-Oxo-Cis-8-Tetradecenoyl"	0.578863587956062	0.588887753719032	-0.000709910495279995
"208"	"3-Oxo-Cis-9-Octadecenoyl"	0	0	0.0224895280476119
"209"	"3-Oxolaur-Cis-5-Enoyl"	0.580328331535566	0.590080465913092	-0.000471217527754118
"210"	"3-deoxy-D-glycero-D-galacto-2-nonulosonic"	0.621566560890464	0.629361972656666	0.000546898938675346
"211"	"3-hydroxy"	0.670100346984821	0.675438816569761	0.00189918384983137
"212"	"3-sulfinylpyruvic"	0	0	0.0224895280476119
"213"	"31-O-Desmethyl,19-Hydroxy,37,"	0.590579900937925	0.598330771550877	0.00129671453983917
"214"	"3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl"	0	0	0.0224895280476119
"215"	"4,7,10,13-Hexadecatetraenoyl"	0	0	0.0224895280476119
"216"	"4,7,10-Hexadecatrienoyl"	0	0	0.0224895280476119
"217"	"4,7-Decadienoyl"	0	0	0.0224895280476119
"218"	"4,8-Dimethylnonanoyl"	0.581329433822857	0.59090898915884	-0.000321424157981729
"219"	"4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic"	0	0	0.0224895280476119
"220"	"4-(methylnitrosamino)-1-(3-pyridyl)-1-butanol"	0	0	0.0224895280476119
"221"	"4-hydroxy-2-quinolinecarboxylic"	0.608812003599391	0.619973357262603	-0.00252874179758919
"222"	"4-hydroxy-atorvastatin-acid"	0.626108435578876	0.631790330959938	0.00255703960767586
"223"	"4-hydroxy-atorvastatin-lactone"	0.62610859895953	0.631971654508824	0.00237587572080502
"224"	"4-hydroxyretinoic"	0.631226250314527	0.638067641666742	0.00128105918909429
"225"	"4-hydroxyvitamin"	0	0	0.0224895280476119
"226"	"4-methylthio-2-oxobutanoic"	0	0	0.0224895280476119
"227"	"5,6-Epoxy-Alpha-Tocopheryl"	0.47068852278565	0.482272407646313	0.000192497963950069
"228"	"5,6-epoxy-(8Z)-tetradecenoic"	0	0	0.0224895280476119
"229"	"5,8,11,14,17-Eicosapentenoic"	0.573975988144832	0.587351758937463	-0.00395027090342401
"230"	"5,8,11,14,17-Eicosapentenoyl"	0	0	0.0224895280476119
"231"	"5,8,11,14-Eicosatetraenoyl"	0	0	0.0224895280476119
"232"	"5,8,11-Tetradecatrienoyl"	0	0	0.0224895280476119
"233"	"5,8-Tetradecadienoyl"	0	0	0.0224895280476119
"234"	"5-Dodecenoyl"	0	0	0.0224895280476119
"235"	"5-Hydroxyhexanoic"	0.586664903060267	0.596830922038191	-0.00102932619071902
"236"	"5-Octenoyl"	0	0	0.0224895280476119
"237"	"5-S-Cysteinylglycine"	0.638384589552817	0.63847202556552	0.00787208655372975
"238"	"5-amino-2-oxopentanoic"	0.649311188829555	0.655747735738402	0.00127427988707409
"239"	"6'-beta-carboxy-simvastatin-acid"	0.590579900937925	0.596647090057607	0.00298039603310931
"240"	"6'-beta-carboxy-simvastatin-lactone"	0.468965663109601	0.480514503229189	0.000266755995799863
"241"	"6'-beta-hydroxy"	0.590579900937925	0.595969823226353	0.00365766286436278
"242"	"6'-beta-hydroxy-lovastatin"	0.590081597638416	0.597589847564003	0.00155067690084689
"243"	"6'-beta-hydroxy-lovastatin-acid"	0.515406502393715	0.524840251260856	0.00132482666787617
"244"	"6'-beta-hydroxy-methyl-simvastatin-acid"	0.590579900937925	0.593669137396511	0.00595834869420511
"245"	"6'-beta-hydroxy-methyl-simvastatin-lactone"	0.468965663109601	0.480514503229189	0.000266755995799863
"246"	"6'-exomethylene-lovastatin"	0.590081597638416	0.597589847564003	0.00155067690084689
"247"	"6'-exomethylene-lovastatin-acid"	0.590579900937925	0.598330771550877	0.00129671453983917
