""	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"	"ID"
"HLA-DQB1; HLA-DRB4; HLA-DRB5; HLA-DRB1"	-1.03913354952381	11.1499497488038	-4.00480662916192	7.35360258237669e-05	0.00521048556140416	1.3701300969653	"HLA-DQB1; HLA-DRB4; HLA-DRB5; HLA-DRB1"
"MMRN1"	-1.03314108	6.5807504569378	-4.00273080699344	7.41601144388261e-05	0.0052379713949818	1.3624589202346	"MMRN1"
"UMODL1"	-1.07905689904762	5.91221214354067	-3.96938484106888	8.49010009161061e-05	0.0057232048581076	1.23973245598561	"UMODL1"
"FAM46A"	0.779818194285715	9.55485578708134	3.96410882336897	8.67300816262725e-05	0.00579367394670925	1.22040147890783	"FAM46A"
"HLA-DRA"	-1.09212602285714	11.1675347966507	-3.9354797225351	9.73245812963276e-05	0.00640493935902063	1.11592074293931	"HLA-DRA"
"AIF1L"	-0.975727547939996	6.3572118632799	-3.93264666678076	9.84372073475498e-05	0.0064060170304688	1.10561970040317	"AIF1L"
"TRGC2; TARP; TRGV9"	1.01398755238095	9.52827045215311	3.93176684638489	9.87851846163012e-05	0.0064060170304688	1.10242205378984	"TRGC2; TARP; TRGV9"
"TARP; TRGV9; TRGC2"	0.987138388571429	9.2620698062201	3.89548373344062	0.000114194389159537	0.00706492710073586	0.971130440789886	"TARP; TRGV9; TRGC2"
"FAM213A"	-0.828171964761908	6.51344409090909	-3.89511633093981	0.000114361476650923	0.00706492710073586	0.969806747977239	"FAM213A"
"TP53INP2"	0.983087470476192	7.43231097129187	3.8837511220909	0.00011964593839353	0.00725002082429428	0.928916848630564	"TP53INP2"
"DMXL2"	0.999512390476191	8.85204509569378	3.86558533989361	0.00012857498240051	0.00750404199915398	0.863789775590236	"DMXL2"
"MAMDC2"	1.24481620952381	7.03943522248804	3.84174867837718	0.000141250160198859	0.00793074950098808	0.778761477897334	"MAMDC2"
"CLEC5A"	-1.15428082095237	6.30083930143541	-3.78391710971447	0.000177086517955365	0.00913354603538161	0.574500265452539	"CLEC5A"
"GUCY1B3"	-0.864741171428571	7.07952050239234	-3.77441487097551	0.000183739332396545	0.00933443804398879	0.541213968512626	"GUCY1B3"
"MIRLET7BHG"	0.918697319999999	6.76476468660287	3.76442766034796	0.000190985464018087	0.00951837218200703	0.506312791211324	"MIRLET7BHG"
"DNTT"	-1.54161350571428	6.85025836124402	-3.73086749483744	0.000217359046043634	0.0103892002654218	0.38966500044951	"DNTT"
"SEPP1"	1.60400062761905	7.84512769617225	3.72242006824853	0.000224518738064555	0.0106762126184188	0.360456987994001	"SEPP1"
"BAALC"	-1.17659480395715	6.73633122832297	-3.71067568576645	0.000234842633760668	0.0109880589273082	0.319951957908247	"BAALC"
"HLA-DPA1"	-0.967119539047619	11.1000748157895	-3.69912785216597	0.000245428401979665	0.0112693811575673	0.280241257050208	"HLA-DPA1"
"LMNA"	0.812323961904763	8.35235692344498	3.68943123559859	0.000254662521083283	0.0114907854308118	0.246985766438455	"LMNA"
"HLA-DRB3; HLA-DRB4; HLA-DQB1; HLA-DRB1"	-0.978644944761907	11.1101880454545	-3.67171856085187	0.000272380277171254	0.0119620787863447	0.186448900585689	"HLA-DRB3; HLA-DRB4; HLA-DQB1; HLA-DRB1"
"TMEM263"	-0.759435634285716	7.38897235406699	-3.66179690141704	0.000282805004010937	0.0122740692347447	0.152658447913872	"TMEM263"
"FAM69B"	-0.770100836190476	6.5544576507177	-3.65573363173971	0.00028935920262683	0.012445214460938	0.1320506864371	"FAM69B"
"PYHIN1"	-0.803082248571432	5.97205794497608	-3.65460925437083	0.000290590208795847	0.012445214460938	0.128232676695381	"PYHIN1"
"ACSL1"	0.845893678700953	9.15481455596651	3.65383235753619	0.000291443656098022	0.012445214460938	0.125595236206308	"ACSL1"
"PRKAR2B"	1.06549539047619	8.15143511004785	3.64695895295265	0.000299097644325167	0.0127076389958689	0.102283967606039	"PRKAR2B"
"DNAJC12"	-0.791177214285714	6.30341638755981	-3.64394020017713	0.000302518590833571	0.0127723799465107	0.0920587897653524	"DNAJC12"
"APP"	-0.853718594360955	7.87705983858852	-3.63983552987226	0.000307229159243694	0.0128571752078968	0.078168077325123	"APP"
"DHRS3"	-0.776791312380955	5.85552596889952	-3.63313052511705	0.000315072446911462	0.0131100876690477	0.0555090156733096	"DHRS3"
"CD96"	-1.02620385817619	7.15446013502871	-3.61876442757105	0.00033251514162524	0.0134326426429227	0.00709150350507581	"CD96"
"SMPDL3A"	0.769889623809522	5.56383250239234	3.61332481649082	0.000339353289585911	0.0135774431255076	-0.0111945375467775	"SMPDL3A"
"ADGRE1"	0.942939342804762	7.39584678894258	3.60503492304318	0.000350028955167305	0.0138871952910563	-0.0390126718664412	"ADGRE1"
"TOX"	-0.929092088571425	7.27868803349282	-3.59921396976027	0.000357712674783497	0.0140413304448644	-0.058510094025066	"TOX"
"S100P"	-0.859122144761904	6.01822188277512	-3.59474033682825	0.000363725198211134	0.0141937586206483	-0.0734745733605688	"S100P"
"ARL4A"	0.751703390445718	8.28179408702871	3.58338847125392	0.000379410384060539	0.0145832989561432	-0.111368728228489	"ARL4A"
"MN1"	-1.13179038952381	6.35573690430622	-3.57710677286649	0.000388360470904016	0.0148757487456119	-0.132289649617431	"MN1"
"CTSG"	1.46581430761905	8.410496215311	3.56914513746998	0.000399988733228038	0.0152142532552763	-0.158756069377917	"CTSG"
"DSC2"	1.03707324666667	6.63829274162679	3.56730728244839	0.000402718975780371	0.0152655333914764	-0.164857691014878	"DSC2"
