"name"	"Cluster_NR"	"NR"	"distance"
"432"	"1269"	0	0	0.0198
"433"	"1270"	0	0	0.0198
"434"	"13"	0	0	0.0198
"435"	"13,14-dihydro-15-oxo-lipoxin"	0	0	0.0198
"436"	"13,14-dihydro-lipoxin"	0	0.274993922872869	0.2082
"437"	"13,15-O-didesmethyl"	0	0.428334719613961	0.3133
"438"	"13,16,19-docosatrienoic"	0	0.270646824212577	0.2052
"439"	"13-Docosenoyl"	0	0	0.0198
"440"	"13-O-desmethyl"	0	0.454187310679916	0.331
"441"	"134"	0	0	0.0198
"442"	"13683"	0	0	0.0198
"443"	"13684"	0	0	0.0198
"444"	"138"	0	0	0.0198
"445"	"1394"	0	0	0.0198
"446"	"14"	0	0	0.0198
"447"	"14-hydroxytetradecanoic"	0	0.388631297311952	0.286
"448"	"1404"	0	0	0.0198
"449"	"1405"	0	0	0.0198
"450"	"1425"	0	0	0.0198
"451"	"1426"	0	0	0.0198
"452"	"15"	0	0	0.0198
"453"	"15-DMT"	0	0.454187310679916	0.331
"454"	"15-Keto-Prostaglandin"	0	0.515588398038371	0.373
"455"	"15-dehydro-prostaglandin"	0	0.102373942430247	0.0899
"456"	"15-deoxy-prostaglandin"	0	0.326246398571451	0.2433
"457"	"15-epi-lipoxin"	0	0.314652872011284	0.2354
"458"	"15-keto-prostaglandin"	0	0	0.0198
"459"	"15-oxo-lipoxin"	0	0.346977689334575	0.2575
"460"	"15-oxo-prostaglandin"	0	0	0.0198
"461"	"150"	0	0	0.0198
"462"	"151"	0	0	0.0198
"463"	"1515"	0	0	0.0198
"464"	"154"	0	0	0.0198
"465"	"16"	0	0	0.0198
"466"	"16-5-5"	0.270139464173939	0.267922576748237	0.0066
"467"	"16-hydroxyhexadecanoic"	0	0.449171303676678	0.3275
"468"	"160"	0	0	0.0198
"469"	"1618"	0	0	0.0198
"470"	"164"	0	0	0.0198
"471"	"1645"	0	0	0.0198
"472"	"165"	0	0	0.0198
"473"	"166"	0	0	0.0198
"474"	"17"	0	0	0.0198
"475"	"171"	0	0	0.0198
"476"	"172"	0	0	0.0198
"477"	"176"	0	0	0.0198
"478"	"17alpha-hydroxypregnenolone"	0	0.326246398571451	0.2433
"479"	"18"	0	0	0.0198
"480"	"182"	0	0	0.0198
"481"	"1827"	0	0	0.0198
"482"	"1828"	0	0	0.0198
"483"	"185"	0	0	0.0198
"484"	"186"	0	0	0.0198
"485"	"1866"	0	0	0.0198
"486"	"1867"	0	0	0.0198
"487"	"19"	0	0	0.0198
"488"	"192"	0	0	0.0198
"489"	"196"	0	0	0.0198
"490"	"2"	0	0.567576502812256	0.4087
"491"	"2,3-Epoxy-Alpha-Tocopheryl"	0	0.131061809263481	0.1096
"492"	"2,3-dihydro-2-S-glutathionyl-3-hydroxy"	0	0	0.0198
"493"	"2,4,7,10,13,16,19-Docosaheptenoyl"	0	0	0.0198
"494"	"2,4,7,10,13,16-Docosahexenoyl"	0	0	0.0198
"495"	"2,4,7,10,13-Hexadecapentaenoyl"	0	0	0.0198
"496"	"2,4,7,10-Hexadecatetraenoyl"	0	0	0.0198
"497"	"2,4,7-Decatrienoyl"	0	0	0.0198
"498"	"2,5,8,11,14-Eicosapentaenoyl"	0	0	0.0198
"499"	"2,5-diaminopyrimidine"	0	0.2809770407416	0.2123
"500"	"2,6,10-Trimethyl"	0	0	0.0198
"501"	"2,6,9,12,15-Octadecapentenoyl"	0	0	0.0198
"502"	"2,6,9,12-Octadecatetraenoyl"	0	0	0.0198
"503"	"2,6,9-Dodecatrienoyl"	0	0	0.0198
"504"	"2,6-Dodecadienoyl"	0	0	0.0198
"505"	"2,7,10,13,16,19-Docosahexenoyl"	0	0	0.0198
"506"	"2,7,10,13,16-Docosapentenoyl"	0	0	0.0198
"507"	"2,7,10,13-Hexadecatetraenoyl"	0	0	0.0198
"508"	"2,7,10-Hexadecatrienoyl"	0	0	0.0198
"509"	"2,7-Decadienoyl"	0	0	0.0198
"510"	"2-(S-glutathionyl)acetyl"	0	0	0.0198
"511"	"2-Hydroxyadipic"	0	0.470403041377311	0.3421
"512"	"2-Methyl-3-Oxo-Valeryl"	0	0.27173827436314	0.206
"513"	"2-amino-3-carboxymuconate"	0	0	0.0198
"514"	"2-aminoadipate"	0	0.331406588223945	0.2468
"515"	"2-aminomuconate"	0	0	0.0198
