"source"	"target"
10047	861278
10249	861418
104013	861438
630535	861846
1198	861949
1198	861952
1198	861953
1198	861967
1198	861985
1198	861989
1198	861991
1198	861993
1198	861995
1198	861998
1198	862000
1198	862024
1245	862070
1245	862075
16728	862114
16728	862116
16728	862119
16728	862121
16728	862123
16728	862124
16728	862125
1679	862517
305911	862863
94611	862962
94869	863108
94869	863118
94923	863180
94924	863181
94926	863182
94941	863183
576510	863482
297924	864022
286057	864133
77614	864668
77682	864669
77892	864685
78727	864746
78731	864747
78737	864748
78727	864812
79347	864938
83713	865082
83742	865083
85907	865395
85907	865405
85907	865407
85907	865411
85907	865417
85907	865421
85907	865422
85907	865425
85907	865427
85907	865428
85907	865429
85907	865430
85907	865431
85907	865433
85907	865435
85907	865438
85907	865446
85907	865448
85907	865450
85907	865453
85907	865455
85907	865460
85907	865463
87649	865718
88106	865771
88106	865772
88106	865773
88106	865775
88106	865778
88106	865780
88106	865782
88106	865785
88106	865786
88106	865788
88106	865789
88335	865814
94051	866372
103880	866605
103889	866613
106339	866630
136313	866751
136233	866759
138025	867128
138027	867129
138035	867130
138217	867180
138182	867182
138182	867183
138182	867190
138182	867194
138182	867197
138182	867198
138293	867228
138339	867248
138339	867257
138339	867258
138339	867262
138339	867267
138339	867269
138339	867272
139293	867378
139334	867379
139519	867411
139915	867459
139915	867461
139915	867465
139915	867468
139915	867472
139915	867475
139915	867480
139915	867482
139915	867484
139915	867490
139915	867513
104013	867542
140287	867605
141097	867708
141097	867712
141097	867715
141097	867717
141097	867720
141097	867723
141097	867727
141097	867731
141097	867736
141097	867741
141097	867745
141097	867746
141097	867750
141097	867754
141097	867756
141097	867764
141097	867768
141097	867771
141097	867776
141097	867785
141097	867795
141097	867796
141097	867799
141097	867802
141097	867805
141097	867806
141097	867807
141097	867808
141097	867809
141097	867812
141097	867813
141097	867814
141493	867858
141511	867859
104043	868097
104043	868127
104043	868130
104043	868135
104043	868139
104043	868144
104043	868156
104043	868165
104043	868168
104043	868172
104043	868231
104043	868248
104043	868272
104043	868351
104043	868357
104043	868361
104043	868364
104200	868373
104200	868427
104200	868440
104205	868442
104200	868446
104200	868450
104205	868452
104200	868458
104200	868463
104205	868465
104200	868469
104200	868471
104200	868482
104200	868485
104200	868487
104200	868520
104205	868531
104214	868532
104225	868538
104225	868541
104225	868546
113062	868591
113362	868592
116857	869137
117405	869300
117410	869301
117963	869482
104804	869621
104907	869622
138326	870077
121812	870078
121814	870079
121819	870080
121881	870132
121893	870133
121881	870135
121881	870136
121893	870137
122036	870251
139915	870311
122266	870450
122346	870454
122346	870455
122346	870456
122346	870459
122346	870460
122346	870461
122346	870462
122414	870473
105160	870578
105187	870579
105221	870580
103880	870661
122555	870691
122603	870695
122555	870704
122556	870730
122614	870732
105240	870745
122643	870799
122720	870807
103872	870809
103880	870810
122748	870840
103880	870860
122795	870865
122795	870866
122795	870875
105240	870933
122840	870990
122994	871029
122994	871033
122994	871035
122994	871037
122994	871038
122994	871040
123009	871047
122994	871048
103872	871052
103880	871053
123222	871094
124101	871359
124118	871360
124216	871399
125256	871633
125440	871649
758588	871650
105800	871771
126956	871791
126956	871821
126956	871826
126956	871828
126956	871831
126956	871835
126956	871844
126956	871845
126956	871846
126956	871847
126956	871849
126956	871851
126956	871853
126956	871856
126956	871858
126956	871861
126956	871863
126956	871868
126956	871871
126956	871873
126956	871874
126956	871875
126956	871876
126956	871878
126956	871879
126956	871880
126956	871881
126956	871883
126956	871884
126956	871885
126956	871886
126956	871889
126956	871893
126956	871896
126956	871898
126956	871901
128009	871957
128009	871968
125256	872089
331138	872097
126956	872107
131160	872168
131160	872169
131160	872170
131160	872171
131160	872172
131160	872173
131160	872174
131160	872176
131160	872177
131160	872178
131343	872251
131160	872289
176663	872464
177166	872500
177430	872525
177430	872563
177430	872564
177430	872565
179914	873001
179914	873002
179914	873003
179914	873004
179884	873005
775262	873021
618768	873022
181050	873231
181050	873232
181050	873233
181050	873234
181374	873305
181672	873397
183662	873639
183701	873640
160627	873784
143498	873826
143075	873877
160627	873915
150724	873949
150725	873950
331314	874003
143806	874045
152626	874124
159548	874613
159580	874614
159646	874743
159893	874817
159893	874843
159893	874844
159893	874846
160080	874854
160081	874855
160081	874861
160102	874862
160409	875076
160429	875077
160472	875164
160548	875242
160549	875243
160550	875244
160555	875245
160627	875325
160627	875338
160627	875347
160627	875354
160627	875365
160627	875374
160627	875381
160627	875395
160627	875399
160627	875404
160627	875408
160627	875412
160627	875416
160627	875419
160627	875423
160627	875437
160627	875440
160627	875444
160627	875447
160627	875450
160627	875455
160627	875457
160623	875459
160627	875460
160637	875461
160644	875462
160627	875463
160644	875475
160652	875476
160681	875477
160623	875490
160637	875491
160644	875492
160644	875494
160652	875495
161118	875724
161118	875852
160627	875990
161433	876132
161453	876148
161453	876152
161438	876164
161449	876165
161450	876166
161483	876167
161503	876249
161509	876250
161503	876256
161505	876257
161506	876258
161509	876259
161506	876348
161533	876356
144729	876362
144754	876478
144757	876479
144773	876480
144729	876542
144826	876607
144811	876696
144812	876697
144822	876698
144823	876699
144830	876761
144826	876762
144826	876764
144826	876772
144826	876796
144826	876874
144843	876878
144839	876879
144876	876880
619570	877081
332663	877263
173286	877317
174046	877449
174144	877450
174173	877451
174796	877514
210451	877724
212069	877812
213463	877908
184893	877977
184893	877979
184893	877983
184893	877987
184893	877990
184893	877991
271051	878300
191094	878510
191094	878516
192182	878591
193793	878708
194412	878777
194412	878778
194412	878780
194412	878781
194412	878782
194412	878783
194412	878784
194412	878785
194412	878786
194412	878787
194412	878789
194412	878791
194412	878792
194412	878793
194412	878795
194412	878796
194412	878798
194412	878800
194412	878802
194412	878803
194412	878805
194412	878808
194412	878810
194412	878819
194412	878825
194412	878829
194412	878830
194412	878832
194412	878834
194412	878835
194412	878840
194412	878841
194412	878843
603	878984
239130	879424
239130	879427
239130	879428
239219	879429
239130	879432
122795	879434
239257	879447
214911	880072
214930	880073
214938	880074
214942	880075
214938	880076
215339	880126
215339	880223
215599	880345
775262	880651
223719	881096
225133	881183
228396	881606
231040	881997
231159	882020
231845	882292
231845	882293
160627	882537
236565	882629
342417	882671
247043	883616
247241	883689
247254	883690
248125	883878
249304	883956
638608	884175
252587	884188
252587	884191
254198	884375
254211	884390
256685	884669
256685	884675
256685	884688
256685	884699
256761	884727
256761	884742
256761	884770
256761	884790
256852	884844
256988	884863
256988	884868
256992	884875
256988	884892
256924	884893
256950	884894
256992	884895
256988	884901
258358	885067
258647	885068
260770	885407
260770	885424
260770	885431
260770	885432
260788	885433
260770	885434
260770	885442
260770	885443
260770	885455
260770	885458
260770	885462
260770	885465
260770	885468
260866	885493
260867	885494
263436	885668
266645	885774
266645	885781
266645	885795
264419	885828
264419	885833
267822	885953
267822	885960
267822	885963
267822	885965
267822	885969
267822	885978
267822	885996
269326	886194
264582	886226
264582	886261
264582	886274
264542	886288
264634	886363
264642	886364
271051	886384
271051	886396
270963	886397
271051	886408
271051	886410
271051	886415
271051	886420
271261	886455
144729	886458
271261	886466
271261	886471
271261	886472
271256	886473
271261	886474
271261	886496
264685	886537
264685	886596
271395	886603
264685	886607
264685	886610
271392	886625
271407	886626
264685	886627
264685	886632
271447	886640
271447	886654
264685	886670
264672	886681
264685	886682
264685	886696
271447	886756
264708	886888
264708	886893
264708	886895
264708	886896
264708	886903
264708	886918
264708	886922
264708	886925
264708	886930
264708	886934
264677	886939
122795	886962
275706	887301
275706	887306
275706	887312
275909	887359
276016	887385
276031	887386
278599	887534
278723	887548
278723	887558
278675	887587
278675	887592
278675	887597
278675	887601
278675	887607
278675	887623
278675	887638
278723	887641
278675	887644
