node	agg	layer1	layer2	layer3	layer4
18156	246	0	0	246	0
7174	245	0	161	102	0
7960	245	0	194	73	0
9712	245	0	89	172	0
9776	245	0	108	157	0
14905	245	0	31	215	0
17269	245	0	24	222	0
7126	244	0	208	62	0
8961	244	0	68	183	0
9124	244	0	103	156	0
11136	244	0	90	167	0
13178	244	0	29	216	0
17569	244	0	30	215	0
18158	244	0	0	244	0
62545	244	0	0	0	244
7521	243	0	218	54	0
8940	243	0	61	193	0
9732	243	0	93	157	0
10330	243	0	126	139	0
6388	242	0	168	78	0
6984	242	0	184	88	0
8849	242	0	103	149	0
9189	242	0	61	194	0
17302	242	0	38	204	0
17313	242	0	31	213	0
7037	241	0	85	174	0
7240	241	0	177	86	0
8157	241	0	276	0	0
9959	241	0	145	124	0
10090	241	0	130	125	0
12909	241	0	55	186	0
13007	241	0	27	216	0
13964	241	0	31	211	0
16341	241	0	27	214	0
18162	241	0	0	241	0
6590	240	0	168	98	0
6778	240	0	209	55	0
7190	240	0	148	113	0
7534	240	0	121	138	0
7818	240	0	227	28	0
9790	240	0	77	176	0
10953	240	0	84	174	0
13487	240	0	30	210	0
18265	240	0	17	223	0
6701	239	0	171	96	0
8061	239	0	179	84	0
8202	239	0	252	9	0
8265	239	0	153	93	0
10416	239	0	67	183	0
11577	239	0	80	176	0
11656	239	0	103	149	0
14274	239	0	44	197	0
16585	239	0	21	219	0
18603	239	0	17	222	0
5985	238	0	191	75	0
6643	238	0	98	150	0
6712	238	0	189	69	0
7063	238	0	128	132	0
8080	238	0	269	4	0
9596	238	0	108	149	0
10473	238	0	109	134	0
10959	238	0	96	162	0
12782	238	0	16	222	0
7918	237	0	257	4	0
8421	237	0	94	162	0
8549	237	0	41	204	0
11000	237	0	85	169	0
17300	237	0	16	223	0
6442	236	0	216	56	0
6809	236	0	203	65	0
7151	236	0	235	29	0
7666	236	0	146	113	0
7914	236	0	219	35	0
10479	236	0	122	138	0
10710	236	0	71	171	0
16589	236	0	17	219	0
17287	236	0	32	206	0
7677	235	0	168	92	0
7749	235	0	252	13	0
8249	235	0	174	83	0
9841	235	0	82	171	0
10534	235	0	82	174	0
10770	235	0	126	118	0
10863	235	0	123	140	0
14778	235	0	36	199	0
14906	235	0	31	206	0
16721	235	0	33	202	0
17293	235	0	30	205	0
18011	235	0	35	201	0
5993	234	0	138	118	0
6631	234	0	142	104	0
7537	234	0	143	96	0
7728	234	0	178	72	0
7944	234	0	236	11	0
7984	234	0	210	47	0
10678	234	0	89	168	0
10699	234	0	134	113	0
10730	234	0	123	137	0
11304	234	0	161	78	0
12073	234	0	39	197	0
13002	234	0	29	207	0
14282	234	0	13	221	0
15795	234	0	35	201	0
17275	234	0	24	211	0
17277	234	0	22	215	0
17307	234	0	30	204	0
6338	233	0	120	126	0
6542	233	0	109	141	0
7529	233	0	123	132	0
7536	233	0	143	113	0
7680	233	0	179	69	0
7735	233	0	195	57	0
7829	233	0	168	85	0
7925	233	0	252	0	0
7926	233	0	239	10	0
8034	233	0	177	76	0
8065	233	0	242	4	0
8077	233	0	153	113	0
8420	233	0	176	83	0
9040	233	0	71	168	0
9166	233	0	75	164	0
11373	233	0	100	148	0
6782	232	0	140	118	0
7049	232	0	150	103	0
7951	232	0	249	16	0
8052	232	0	187	55	0
8387	232	0	46	187	0
10023	232	0	138	119	0
10851	232	0	66	177	0
16751	232	0	32	201	0
17250	232	0	29	203	0
17278	232	0	29	204	0
17295	232	0	31	202	0
17658	232	0	30	204	0
18058	232	0	46	186	0
18814	232	0	14	218	0
7752	231	0	157	92	0
7799	231	0	250	7	0
7857	231	0	206	33	0
7966	231	0	227	37	0
8019	231	0	246	8	0
8312	231	0	100	139	0
8412	231	0	89	158	0
8770	231	0	111	136	0
9008	231	0	96	153	0
10427	231	0	79	156	0
14917	231	0	24	208	0
14975	231	0	22	209	0
17280	231	0	18	214	0
17285	231	0	32	200	0
17294	231	0	21	210	0
17617	231	0	35	204	0
18160	231	0	0	231	0
62534	231	0	0	0	231
6430	230	0	120	124	0
6589	230	0	147	102	0
6887	230	0	177	76	0
7579	230	0	168	92	0
8082	230	0	242	9	0
8151	230	0	257	10	0
8209	230	0	249	11	0
9430	230	0	48	189	0
17281	230	0	14	217	0
18161	230	0	0	230	0
62546	230	0	0	0	230
6771	229	0	137	113	0
7217	229	0	168	87	0
7664	229	0	162	83	0
8092	229	0	218	28	0
9775	229	0	87	153	0
9793	229	0	98	149	0
16566	229	0	35	195	0
62687	229	0	0	0	229
62689	229	0	0	0	229
7727	228	0	155	98	0
8116	228	0	249	0	0
8524	228	0	159	89	0
9038	228	0	91	153	0
9730	228	0	102	148	0
9749	228	0	120	132	0
9791	228	0	97	150	0
18164	228	0	0	228	0
6637	227	0	221	39	0
7803	227	0	214	42	0
9428	227	0	130	125	0
17282	227	0	21	208	0
17927	227	0	33	194	0
18159	227	0	0	227	0
8017	226	0	207	35	0
8115	226	0	231	24	0
8219	226	0	177	70	0
9427	226	0	124	130	0
9602	226	0	159	103	0
10441	226	0	143	111	0
11977	226	0	0	226	0
17304	226	0	27	199	0
17305	226	0	36	190	0
18066	226	0	37	189	0
7577	225	0	144	101	0
7698	225	0	218	16	0
7906	225	0	138	103	0
8037	225	0	193	36	0
8943	225	0	136	118	0
10212	225	0	112	128	0
10468	225	0	95	153	0
17303	225	0	26	201	0
18604	225	0	0	225	0
6644	224	0	153	93	0
7742	224	0	160	88	0
7833	224	0	232	8	0
7909	224	0	193	51	0
7933	224	0	121	108	0
7935	224	0	131	102	0
7939	224	0	170	62	0
7958	224	0	188	60	0
7965	224	0	140	107	0
7983	224	0	207	34	0
8103	224	0	163	88	0
8197	224	0	163	85	0
9280	224	0	112	126	0
9773	224	0	106	138	0
12077	224	0	44	182	0
14881	224	0	46	182	0
17299	224	0	22	203	0
6602	223	0	255	7	0
6795	223	0	227	25	0
7188	223	0	184	65	0
7599	223	0	165	78	0
