"Entrez" "group"
"488" "KCNE1" "IDH2"
"489" "OR10G6" "IDH2"
"490" "OR2I1P" "IDH2"
"491" "OR2T7" "IDH2"
"492" "OR3A4P" "IDH2"
"493" "OR4A4P" "IDH2"
"494" "OR4A8" "IDH2"
"495" "OR4K3" "IDH2"
"496" "OR4Q2" "IDH2"
"497" "OR52E5" "IDH2"
"498" "OR8U8" "IDH2"
"499" "ZNF468" "IDH2"
"500" "FOXN2" "IDH2"
"501" "FAM3A" "IDH2"
"502" "SLC13A4" "IDH2"
"503" "SLC35D1" "IDH2"
"504" "FOXP4" "IDH2"
"505" "TARBP2" "IDH2"
"506" "NPPB" "IDH2"
"507" "HCFC1R1" "IDH2"
"508" "HTR1D" "IDH2"
"509" "NCR3LG1" "IDH2"
"510" "SGSM2" "IDH2"
"511" "TTYH2" "IDH2"
"512" "OSBP" "IDH2"
"513" "TBC1D23" "IDH2"
"514" "MYH6" "IDH2"
"515" "ASB4" "IDH2"
"516" "C5orf46" "IDH2"
"517" "LYL1" "IDH2"
"518" "GPR35" "IDH2"
"519" "SLC30A9" "IDH2"
"520" "CEP68" "IDH2"
"521" "SBNO1" "IDH2"
"522" "IFI44" "IDH2"
"523" "TRPM4" "IDH2"
"524" "API5" "IDH2"
"525" "UTP23" "IDH2"
"526" "KCTD8" "IDH2"
"527" "IFI30" "IDH2"
"528" "SYT17" "IDH2"
"529" "KRT28" "IDH2"
"530" "C1D" "IDH2"
"531" "GRXCR1" "IDH2"
"532" "INSIG2" "IDH2"
"533" "INSRR" "IDH2"
"534" "SH3YL1" "IDH2"
"535" "ESR2" "IDH2"
"536" "LYRM1" "IDH2"
"537" "SURF1" "IDH2"
"538" "SLC45A2" "IDH2"
"539" "VEZT" "IDH2"
"540" "NRROS" "IDH2"
"541" "USP16" "IDH2"
"542" "CTRL" "IDH2"
"543" "GNG2" "IDH2"
"544" "ZNF341" "IDH2"
"545" "CSAG3" "IDH2"
"546" "MFSD8" "IDH2"
"547" "ASB18" "IDH2"
"548" "MYCN" "IDH2"
"549" "PABPC1L2B" "IDH2"
"550" "PRAMEF6" "IDH2"
"551" "SPPL2B" "IDH2"
"552" "ZNF441" "IDH2"
"553" "ZNF41" "IDH2"
"554" "P2RY11" "IDH2"
"555" "OR4C46" "IDH2"
"556" "TRPT1" "IDH2"
"557" "ZNF775" "IDH2"
"558" "TGFBR1" "IDH2"
"559" "TRIM59" "IDH2"
"560" "SNORD114-2" "IDH2"
"561" "IFI44L" "IDH2"
"562" "GRIA3" "IDH2"
"563" "PLEK" "IDH2"
"564" "HIGD1A" "IDH2"
"565" "KATNAL2" "IDH2"
"566" "CMTM2" "IDH2"
"567" "MMD" "IDH2"
"568" "FZD7" "IDH2"
"569" "ZNF497" "IDH2"
"570" "C2orf49" "IDH2"
"571" "CEMIP" "IDH2"
"572" "ZNF837" "IDH2"
