"Entrez" "group"
"811" "TMED1" "Non Responder"
"812" "ARL5A" "Non Responder"
"813" "CHRNA4" "Non Responder"
"814" "CRHR1" "Non Responder"
"815" "TMPRSS2" "Non Responder"
"816" "ADGRF1" "Non Responder"
"817" "LPXN" "Non Responder"
"818" "OR5D16" "Non Responder"
"819" "OR1S1" "Non Responder"
"820" "TBC1D23" "Non Responder"
"821" "DMTN" "Non Responder"
"822" "CLSTN3" "Non Responder"
"823" "GSC" "Non Responder"
"824" "MSTN" "Non Responder"
"825" "ELF5" "Non Responder"
"826" "ANKZF1" "Non Responder"
"827" "CFLAR" "Non Responder"
"828" "TCF21" "Non Responder"
"829" "ZNF837" "Non Responder"
"830" "SNX20" "Non Responder"
"831" "SEPTIN6" "Non Responder"
"832" "LY96" "Non Responder"
"833" "OSBPL11" "Non Responder"
"834" "MBD4" "Non Responder"
"835" "ANGPTL4" "Non Responder"
"836" "NPPC" "Non Responder"
"837" "ASB10" "Non Responder"
"838" "ARHGAP19" "Non Responder"
"839" "ZFY" "Non Responder"
"840" "SPAG11B" "Non Responder"
"841" "TAS2R1" "Non Responder"
"842" "LIN28A" "Non Responder"
"843" "ZNF474" "Non Responder"
"844" "TARBP2" "Non Responder"
"845" "SLITRK5" "Non Responder"
"846" "TBXA2R" "Non Responder"
"847" "GABRA1" "Non Responder"
"848" "SYNGAP1" "Non Responder"
"849" "EDNRA" "Non Responder"
"850" "DNAH14" "Non Responder"
